owner_org,รหัส Dataset ID,title,ช่วงเวลาข้อมูล time_horizon,ขอบข่ายข้อมูล domain,ชื่อประเภทข้อมูล Data_Entity,ภัยที่เกี่ยวข้อง Related Hazards,สาขา Sectors,มิติด้านเวลา Temporal Dimension,ช่วงเวลา Time Period,หน่วย Unit,ความละเอียดเชิงเวลา Temporal Resolution,geo_coverage,ความละเอียดเชิงพื้นที่ Spatial Resolution,data_format,accessible_condition,url,ข้อจำกัด Limitations / Gaps,หมายเหตุ Remarks,data_source,ประเภทแหล่งที่มา Source_Type,data_type,maintainer,maintainer_email,tag_string,notes,objective,update_frequency_unit,update_frequency_interval,data_category,license_id,created_date,last_updated_date,data_support,data_collect,data_language,high_value_dataset,reference_data,endorsement_status,validation_flag,limitations_statement
DCCE,DCCE_2_19,"อุณหภูมิเฉลี่ย (Statistical Downscaling, CMIP6)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Multi-hazard,Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2100 (ssp245); 2015-2100 (ssp585),°C,Daily; Monthly,National,5 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,SD ไม่มีข้อมูล Relative Humidity (hurs),Model/Source: Statistical Downscaling(ACCESS-CM2; MIROC6; MPI-ESM1-2) · Variable: tas,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,SD ไม่มีข้อมูล Relative Humidity (hurs)
DCCE,DCCE_2_2,"อุณหภูมิสูงสุด (GridData, historical)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Drought (ภัยแล้ง) ,Cross-cutting (หลายสาขา),Historical,1981-2023,°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: GridData · Variable: tasmax · Scenario: historical,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_3,"อุณหภูมิต่ำสุด (GridData, historical)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Drought (ภัยแล้ง) ,Cross-cutting (หลายสาขา),Historical,1981-2023,°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: GridData · Variable: tasmin · Scenario: historical,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_4,"อุณหภูมิเฉลี่ย (GridData, historical)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Drought (ภัยแล้ง) ,Cross-cutting (หลายสาขา),Historical,1981-2023,°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: GridData · Variable: tas · Scenario: historical,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_5,"ความชื้นสัมพัทธ์ (GridData, historical)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,ภัยแล้ง (Drought); ไฟป่า (Wildfire),Cross-cutting (หลายสาขา),Historical,1981-2023,%,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,-,Model/Source: GridData · Variable: hurs · Scenario: historical,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
DCCE,DCCE_2_6,"ปริมาณน้ำฝน (WRF-Chem, CMIP6 bias-corrected)",Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,น้ำท่วม (Flood); ภัยแล้ง (Drought),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2099 (ssp585),mm,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,มีเฉพาะ ssp585,"Model/Source: WRF-Chem(driven by CMIP6 GCMs, Bias-Corrected) · Variable: pr",Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585
DCCE,DCCE_2_7,อุณหภูมิสูงสุด (WRF-Chem),Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,คลื่นความร้อน (Heat); ภัยแล้ง (Drought),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,มีเฉพาะ ssp585,Model/Source: WRF-Chem · Variable: tasmax,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585
DCCE,DCCE_2_8,อุณหภูมิต่ำสุด (WRF-Chem),Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,คลื่นความเย็น (Cold spell); คลื่นความร้อน (Heat),Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,มีเฉพาะ ssp585,Model/Source: WRF-Chem · Variable: tasmin,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585
DCCE,DCCE_2_9,อุณหภูมิเฉลี่ย (WRF-Chem),Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Multi-hazard,Cross-cutting (หลายสาขา),Historical; Projected,1981-2014 (historical); 2015-2099 (ssp585),°C,Daily; Monthly,National,25 km (Grid),NetCDF,Restricted,https://clim-webbased.dcce.go.th/DataServices,มีเฉพาะ ssp585,Model/Source: WRF-Chem · Variable: tas,Website Climate Data Visualization,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585
DCCE,DCCE_3_1,ความเสี่ยงสาขาการเกษตรและความมั่นคงทางอาหาร,Forward-looking,Risk and Impact Assessment (DOM_023),COMPOSITE_INDEX,Cross-cutting (ทุกภัย),Agriculture (เกษตร),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,,,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp245,ดัชนีรวมจาก Hazard × Exposure × Vulnerability รายจังหวัด,Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp245
DCCE,DCCE_3_2,ความเสี่ยงสาขาการจัดการน้ำ,Forward-looking,Risk and Impact Assessment (DOM_023),COMPOSITE_INDEX,Cross-cutting (ทุกภัย),Water (น้ำ),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2101,,,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp246,ดัชนีรวมจาก Hazard × Exposure × Vulnerability รายจังหวัด,Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp246
DCCE,DCCE_3_3,ความเสี่ยงสาขาการตั้งถิ่นฐานและความมั่นคงมนุษย์,Forward-looking,Risk and Impact Assessment (DOM_023),COMPOSITE_INDEX,Cross-cutting (ทุกภัย),Human Settlement (ตั้งถิ่นฐาน),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2102,Index (0-1),Annual,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp247,ดัชนีรวมจาก Hazard × Exposure × Vulnerability รายจังหวัด,Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp247
DCCE,DCCE_3_4,ความเสี่ยงสาขาการท่องเที่ยว,Forward-looking,Risk and Impact Assessment (DOM_023),COMPOSITE_INDEX,Cross-cutting (ทุกภัย),Tourism (ท่องเที่ยว),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2103,Index (0-1),Annual,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp248,ดัชนีรวมจาก Hazard × Exposure × Vulnerability รายจังหวัด,Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp248
DCCE,DCCE_3_5,ความเสี่ยงสาขาทรัพยากรธรรมชาติและสิ่งแวดล้อม,Forward-looking,Risk and Impact Assessment (DOM_023),COMPOSITE_INDEX,Cross-cutting (ทุกภัย),Natural Resources (ทรัพยากรธรรมชาติ),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2104,Index (0-1),Annual,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp249,ดัชนีรวมจาก Hazard × Exposure × Vulnerability รายจังหวัด,Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp249
DCCE,DCCE_3_6,ความเสี่ยงสาขาสาธารณสุข,Forward-looking,Risk and Impact Assessment (DOM_023),COMPOSITE_INDEX,Cross-cutting (ทุกภัย),Public Health (สาธารณสุข),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2105,Index (0-1),Annual,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp250,ดัชนีรวมจาก Hazard × Exposure × Vulnerability รายจังหวัด,Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp250
DCCE,DCCE_3_7,ดัชนีภูมิอากาศ,Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Cross-cutting (ทุกภัย),Cross-cutting (หลายสาขา),Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2106,Index,Annual,National,Province,CSV,Open,https://ccic.dcce.go.th/riskarea,มีเฉพาะ ssp585 และ ssp251,"ดัชนีรวมปัจจัยภูมิอากาศ (T, P) สำหรับ screening รายพื้นที่",Website ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Website,,DCCE,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,มีเฉพาะ ssp585 และ ssp251
GISTDA,GISTDA_1_1,ข้อมูลขอบเขตพื้นที่เผาไหม้ (ล่าสุด) ในช่วง 365 วัน v1.2,Forward-looking,Risk and Impact Assessment (DOM_021),SATELLITE_OBSERVATION,Wildfire (ไฟป่า),,Natural Resources (ทรัพยากรธรรมชาติ),2025-2026,ตร.กม.,Annual,National,-,API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v1.2/disasters/burnt-area-latest-365,-,"API endpoint: /gi-service/v1.2/disasters/burnt-area-latest-365 | tags: gi-services, disasters, burnt area, opendata, Fire | อัปเดตล่าสุด: 30 เม.ย. 2569 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_10,ข้อมูลพื้นที่ปลูกข้าวรายสองสัปดาห์ (40 เมตร) v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Bi-weekly,National,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/rice-weekly-40m,-,"API endpoint: /gi-service/v2.2/agriculture/rice-weekly-40m | tags: gi-services, opendata, agriculture, rice, weekly, 40m | ข้าว รายสองสัปดาห์ | อัปเดตลล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_2,ข้อมูลขอบเขตพื้นที่เผาไหม้ (ล่าสุด) v1.2,Forward-looking,Risk and Impact Assessment (DOM_021),SATELLITE_OBSERVATION,Wildfire (ไฟป่า),,Natural Resources (ทรัพยากรธรรมชาติ),2025,ตร.กม.,Event-based,National,-,API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v1.2/disasters/burnt-area-latest,-,"API endpoint: /gi-service/v1.2/disasters/burnt-area-latest | tags: gi-services, disasters, burnt area, opendata, Fire | อัปเดตล่าสุด: 24 ต.ค. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_3,ข้อมูลพื้นที่เหมาะสมในการเพาะปลูกพืชเศรษฐกิจ 6 ชนิดตามบริเวณที่ค้นหา v1.1,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Annual,Sub-national,-,API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v1.1/agriculture/crop-suitability,-,"API endpoint: /gi-service/v1.1/agriculture/crop-suitability | tags: gi-services, opendata, agriculture, crop, suitability | พืชเศรษฐกิจ 6 ชนิด | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_4,ข้อมูลพื้นที่ปลูกพืชเศรษฐกิจ 6 ชนิดตามบริเวณที่ค้นหา v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Annual,Sub-national,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/check-crop,-,"API endpoint: /gi-service/v2.2/agriculture/check-crop | tags: gi-services, opendata, agriculture, crop, 40m | ตรวจสอบพืชเศรษฐกิจ 6 ชนิด | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_5,ข้อมูลพื้นที่ปลูกปาล์มน้ำมันรายปี (40 เมตร) v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Annual,National,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/palm-yearly-40m,-,"API endpoint: /gi-service/v2.2/agriculture/palm-yearly-40m | tags: gi-services, opendata, agriculture, palm, 40m | รายปี | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_6,ข้อมูลพื้นที่ปลูกยางพารารายปี (40 เมตร) v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Annual,National,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/rubber-yearly-40m,-,"API endpoint: /gi-service/v2.2/agriculture/rubber-yearly-40m | tags: gi-services, opendata, agriculture, rubber, 40m | ยางพารา รายปี | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_7,ข้อมูลพื้นที่ปลูกอ้อยรายสองสัปดาห์ (40 เมตร) v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Bi-weekly,National,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/sugarcane-weekly-40m,-,"API endpoint: /gi-service/v2.2/agriculture/sugarcane-weekly-40m | tags: gi-services, opendata, agriculture, sugarcane, weekly, 40m | อ้อย รายสองสัปดาห์ | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_8,ข้อมูลพื้นที่ปลูกมันสำปะหลังรายสองสัปดาห์ (40 เมตร) v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Bi-weekly,National,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/cassava-weekly-40m,-,"API endpoint: /gi-service/v2.2/agriculture/cassava-weekly-40m | tags: gi-services, opendata, agriculture, cassava, weekly, 40m | มันสำปะหลัง รายสองสัปดาห์ | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_1_9,ข้อมูลพื้นที่ปลูกข้าวโพดรายสองสัปดาห์ (40 เมตร) v2.2,Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Agriculture (เกษตร),2025,ตร.กม.,Bi-weekly,National,40 m (Grid),API / Web Service,Open,https://api-gateway.gistda.or.th/gi-service/v2.2/agriculture/maize-weekly-40m,-,"API endpoint: /gi-service/v2.2/agriculture/maize-weekly-40m | tags: gi-services, opendata, agriculture, maize, weekly, 40m | ข้าวโพด รายสองสัปดาห์ | อัปเดตล่าสุด: 11 พ.ย. 2568 | -",Website Gistda Gateway,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_2_1,อุณหภูมิผิวหน้าน้ำทะเล (SST),Forward-looking,Physical Climate (DOM_010),CLIMATE_DRIVER,Multi-hazard,,Cross-cutting (หลายสาขา),Up to 2026,°C,Daily,National,0.85 km (Grid),NetCDF,Open,https://portal.marineportal.gistda.or.th/catalogue/#/,-,วิเคราะห์ประมวลผลจากภาพถ่ายดาวเทียม Suomi-NPP/NOAA-20 ระบบ VIIRS,Website Marine GI Portal ระบบประเมินและติดตามระบบนิเวศทางทะเลและชายฝั่ง,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,-
GISTDA,GISTDA_2_2,แสงไฟในเวลากลางคืน (Nighttime Light),Forward-looking,Risk and Impact Assessment (DOM_022),EXPOSED_ASSET,Cross-cutting (ทุกภัย),,Human Settlement (ตั้งถิ่นฐาน),2016-2025,nW/cm²/sr,Annual,National,-,Shapefile,Open,https://portal.marineportal.gistda.or.th/catalogue/#/,,"ข้อมูลความเข้มแสงไฟกลางคืนจากภาพถ่ายดาวเทียม ใช้เป็น proxy ของกิจกรรมเศรษฐกิจ | จากรายการขอข้อมูล WebGIS DCCE 19/01/2026 (1_Data_WebGIS_DCCE_20260119.xlsx → sheet: GISTDA, ลำดับที่ 4)",Website Marine GI Portal ระบบประเมินและติดตามระบบนิเวศทางทะเลและชายฝั่ง,Website,Historical,GISTDA,,,,,,,,,,,,,,,,Baseline-Draft,Unverified-Baseline,Pending-Technical-Audit
