UC ID,Service Group,Agency,Use Case / Decision Moment,Key Technical Specs,Source Anchors,Description (EN),Description (TH)
UC-11,S07,NXPO,Adaptation Research Priority Dashboard,"Variables: Research Funding Allocation, Technology Maturity (TRL), Adaptation Gap Analysis | Resolution: Thematic/Sectoral","NXPO, S1, Matrix-R6, Raw-G2-34","This use case is designed for NXPO to facilitate the 'Adaptation Research Priority Dashboard'. It is primarily driven by decision moments such as Research Funding Prioritization, National Science & Tech Strategy. The service provides critical intelligence products, requiring specific data parameters including Research Funding Allocation, Technology Maturity (TRL), Adaptation Gap Analysis at a Thematic/Sectoral resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานสภานโยบายการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรมแห่งชาติ (สอวช.) เพื่อสนับสนุนการดำเนินงานด้าน 'Adaptation Research Priority Dashboard' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Research Funding Prioritization, National Science & Tech Strategy ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Research Funding Allocation, Technology Maturity (TRL), Adaptation Gap Analysis ในระดับความละเอียด Thematic/Sectoral เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-12,S07,NXPO,Climate Innovation Opportunity Maps,"Variables: Climate Vulnerability hotspots, Innovation Sandbox Locations, Market Demand for Adapt-Tech | Resolution: Regional/Spatial","NXPO, S1, Matrix-R6, Raw-G2-35","This use case is designed for NXPO to facilitate the 'Climate Innovation Opportunity Maps'. It is primarily driven by decision moments such as Innovation Sandbox Selection, GGA (Global Goal on Adaptation) Alignment. The service provides critical intelligence products, requiring specific data parameters including Climate Vulnerability hotspots, Innovation Sandbox Locations, Market Demand for Adapt-Tech at a Regional/Spatial resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานสภานโยบายการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรมแห่งชาติ (สอวช.) เพื่อสนับสนุนการดำเนินงานด้าน 'Climate Innovation Opportunity Maps' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Innovation Sandbox Selection, GGA (Global Goal on Adaptation) Alignment ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Climate Vulnerability hotspots, Innovation Sandbox Locations, Market Demand for Adapt-Tech ในระดับความละเอียด Regional/Spatial เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-13,S06,FTI,Industrial Water Scarcity Economic Loss Models,"Variables: Water Supply-Demand Gap, Production Loss per m3 Water Scarcity | Resolution: Industrial Estate / 10 sqkm","FTI, HII, Matrix-R7, Raw-G2-30","This use case is designed for FTI to facilitate the 'Industrial Water Scarcity Economic Loss Models'. It is primarily driven by decision moments such as EEC Water Security War Room, Industrial Investment Decisions. The service provides critical intelligence products, requiring specific data parameters including Water Supply-Demand Gap, Production Loss per m3 Water Scarcity at a Industrial Estate / 10 sqkm resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สภาอุตสาหกรรมแห่งประเทศไทย (ส.อ.ท.) เพื่อสนับสนุนการดำเนินงานด้าน 'Industrial Water Scarcity Economic Loss Models' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ EEC Water Security War Room, Industrial Investment Decisions ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Water Supply-Demand Gap, Production Loss per m3 Water Scarcity ในระดับความละเอียด Industrial Estate / 10 sqkm เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-14,S06,FTI,Water Supply-Demand Forecasts,"Variables: Reservoir Inflow Projections, Industrial Water Demand History (10y+), Supply Projections | Resolution: Basin / EEC Scale","FTI, S1, Matrix-R7, Raw-G2-31","This use case is designed for FTI to facilitate the 'Water Supply-Demand Forecasts'. It is primarily driven by decision moments such as Drought Response Activation, Supply-Demand Conflict Mitigation (EEC). The service provides critical intelligence products, requiring specific data parameters including Reservoir Inflow Projections, Industrial Water Demand History (10y+), Supply Projections at a Basin / EEC Scale resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สภาอุตสาหกรรมแห่งประเทศไทย (ส.อ.ท.) เพื่อสนับสนุนการดำเนินงานด้าน 'Water Supply-Demand Forecasts' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Drought Response Activation, Supply-Demand Conflict Mitigation (EEC) ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Reservoir Inflow Projections, Industrial Water Demand History (10y+), Supply Projections ในระดับความละเอียด Basin / EEC Scale เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-15,S02,MSDHS,Human Settlement Habitability Projections,"Variables: Permanent Inundation Risk, Habitability Score, Relocation Urgency | Resolution: Neighborhood / Sub-district","MSDHS, S1, Matrix-R8, Raw-G2-20","This use case is designed for MSDHS to facilitate the 'Human Settlement Habitability Projections'. It is primarily driven by decision moments such as 5-year Community Relocation Planning, Occupational Retraining Programs. The service provides critical intelligence products, requiring specific data parameters including Permanent Inundation Risk, Habitability Score, Relocation Urgency at a Neighborhood / Sub-district resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์ (พม.) เพื่อสนับสนุนการดำเนินงานด้าน 'Human Settlement Habitability Projections' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ 5-year Community Relocation Planning, Occupational Retraining Programs ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Permanent Inundation Risk, Habitability Score, Relocation Urgency ในระดับความละเอียด Neighborhood / Sub-district เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-16,S02,MSDHS,Priority Evacuation Registry,"Variables: Bedridden Patient Locations, Elderly Locations, Flood Hazard Zone Overlay | Resolution: Individual / Household level","MSDHS, S1, Matrix-R8, Raw-G2-19, Raw-G3-39","This use case is designed for MSDHS to facilitate the 'Priority Evacuation Registry'. It is primarily driven by decision moments such as Emergency Evacuation Activation, Local Health Response. The service provides critical intelligence products, requiring specific data parameters including Bedridden Patient Locations, Elderly Locations, Flood Hazard Zone Overlay at a Individual / Household level resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์ (พม.) เพื่อสนับสนุนการดำเนินงานด้าน 'Priority Evacuation Registry' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Emergency Evacuation Activation, Local Health Response ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Bedridden Patient Locations, Elderly Locations, Flood Hazard Zone Overlay ในระดับความละเอียด Individual / Household level เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-17,S06,BMA,Neighborhood Heat-Risk Intensity Index,"Variables: Surface Temperature, Humidex, Cooling Center Locations | Resolution: Neighborhood / 100m Grid","BMA, S1, Matrix-R9, Raw-G3-44","This use case is designed for BMA to facilitate the 'Neighborhood Heat-Risk Intensity Index'. It is primarily driven by decision moments such as Governor Heat Warning Activation, Cooling Center Deployment. The service provides critical intelligence products, requiring specific data parameters including Surface Temperature, Humidex, Cooling Center Locations at a Neighborhood / 100m Grid resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรุงเทพมหานคร (กทม.) เพื่อสนับสนุนการดำเนินงานด้าน 'Neighborhood Heat-Risk Intensity Index' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Governor Heat Warning Activation, Cooling Center Deployment ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Surface Temperature, Humidex, Cooling Center Locations ในระดับความละเอียด Neighborhood / 100m Grid เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-18,S03,BMA,Infrastructure Resilience Audit,"Variables: Pump Performance, Drainage Tunnel Capacity, Climate-adjusted Runoff | Resolution: Asset/Network level","BMA, S1, Matrix-R9, S5-4","This use case is designed for BMA to facilitate the 'Infrastructure Resilience Audit'. It is primarily driven by decision moments such as Tunnel Procurement Justification, BMA Engineering Code Update. The service provides critical intelligence products, requiring specific data parameters including Pump Performance, Drainage Tunnel Capacity, Climate-adjusted Runoff at a Asset/Network level resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรุงเทพมหานคร (กทม.) เพื่อสนับสนุนการดำเนินงานด้าน 'Infrastructure Resilience Audit' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Tunnel Procurement Justification, BMA Engineering Code Update ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Pump Performance, Drainage Tunnel Capacity, Climate-adjusted Runoff ในระดับความละเอียด Asset/Network level เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-19,S03,DLA,Local Resilience Justification Pack,"Variables: Localized Hazard Intensity, Economic Value at Risk, Mitigation ROI | Resolution: Municipality (Tesaban)","DLA, S1, Matrix-R10, Raw-G1-10","This use case is designed for DLA to facilitate the 'Local Resilience Justification Pack'. It is primarily driven by decision moments such as Annual Budget Ordinance, Accumulated Funds (เงินสะสม) Request. The service provides critical intelligence products, requiring specific data parameters including Localized Hazard Intensity, Economic Value at Risk, Mitigation ROI at a Municipality (Tesaban) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมส่งเสริมการปกครองท้องถิ่น (สถ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Local Resilience Justification Pack' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Annual Budget Ordinance, Accumulated Funds (เงินสะสม) Request ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Localized Hazard Intensity, Economic Value at Risk, Mitigation ROI ในระดับความละเอียด Municipality (Tesaban) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-20,S07,DLA,Performance Index (LPA) Alignment,"Variables: LPA Climate Indicators, Local Adaptation Progress, National Target Mapping | Resolution: LAO (Local Administrative Organization)","DLA, S1, Matrix-R10, Raw-G1-11","This use case is designed for DLA to facilitate the 'Performance Index (LPA) Alignment'. It is primarily driven by decision moments such as Local Performance Assessment (LPA), National NAP Tracking. The service provides critical intelligence products, requiring specific data parameters including LPA Climate Indicators, Local Adaptation Progress, National Target Mapping at a LAO (Local Administrative Organization) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมส่งเสริมการปกครองท้องถิ่น (สถ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Performance Index (LPA) Alignment' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Local Performance Assessment (LPA), National NAP Tracking ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย LPA Climate Indicators, Local Adaptation Progress, National Target Mapping ในระดับความละเอียด LAO (Local Administrative Organization) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
