UC_ID,Originating_Agency,Use_Case_Title,Primary_Service,Decision_Moment,Product,Data_Requirements,Narrative_Description
UC-11,NXPO,Adaptation Research Priority Dashboard,S07: การติดตามและประเมินผลการดำเนินนโยบาย,"Research Funding Prioritization, National Science & Tech Strategy",Business Intelligence Dashboard,"Variables: Research Funding Allocation, Technology Maturity (TRL), Adaptation Gap Analysis; Resolution: Thematic/Sectoral; Return Periods: None",วิเคราะห์ช่องว่างเทคโนโลยีและทิศทางการวิจัยเพื่อสร้างความเหมาะสมในการนำไปใช้งานของนวัตกรรมภูมิอากาศไทย รองรับการตัดสินใจเชิงยุทธศาสตร์ด้วยหลักฐานเชิงประจักษ์
UC-12,NXPO,Climate Innovation Opportunity Maps,S07: การติดตามและประเมินผลการดำเนินนโยบาย,"Innovation Sandbox Selection, GGA (Global Goal on Adaptation) Alignment",Thematic GIS Layers,"Variables: Climate Vulnerability hotspots, Innovation Sandbox Locations, Market Demand for Adapt-Tech; Resolution: Regional/Spatial; Return Periods: 10-20 year Horizon",วิเคราะห์ช่องว่างเทคโนโลยีและทิศทางการวิจัยเพื่อสร้างความเหมาะสมในการนำไปใช้งานของนวัตกรรมภูมิอากาศไทย รองรับการตัดสินใจเชิงยุทธศาสตร์ด้วยหลักฐานเชิงประจักษ์
UC-13,FTI,Industrial Water Scarcity Economic Loss Models,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"EEC Water Security War Room, Industrial Investment Decisions",Economic Scenarios / Vector GIS,"Variables: Water Supply-Demand Gap, Production Loss per m3 Water Scarcity; Resolution: Industrial Estate / 10 sqkm; Return Periods: 20-year Planning Horizon",ประเมินผลกระทบทางเศรษฐกิจจากการขาดแคลนน้ำในภาคอุตสาหกรรม เพื่อใช้เป็นหลักฐานสนับสนุนการตัดสินใจทางการในการวางแผนความมั่นคงด้านทรัพยากรน้ำในเขตพื้นที่เศรษฐกิจสำคัญ
UC-14,FTI,Water Supply-Demand Forecasts,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"Drought Response Activation, Supply-Demand Conflict Mitigation (EEC)",Time-series API,"Variables: Reservoir Inflow Projections, Industrial Water Demand History (10y+), Supply Projections; Resolution: Basin / EEC Scale; Return Periods: Monthly / Seasonal / 20-year",ประเมินผลกระทบทางเศรษฐกิจจากการขาดแคลนน้ำในภาคอุตสาหกรรม เพื่อใช้เป็นหลักฐานสนับสนุนการตัดสินใจทางการในการวางแผนความมั่นคงด้านทรัพยากรน้ำในเขตพื้นที่เศรษฐกิจสำคัญ
UC-15,MSDHS,Human Settlement Habitability Projections,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"5-year Community Relocation Planning, Occupational Retraining Programs",Risk Classification Maps,"Variables: Permanent Inundation Risk, Habitability Score, Relocation Urgency; Resolution: Neighborhood / Sub-district; Return Periods: 2-5 year Forecast",วิเคราะห์ความเปราะบางระดับพื้นที่ย่อยเพื่อระบุกลุ่มเป้าหมายใน Human Settlement Habitability Projections ช่วยให้การจัดสรรสวัสดิการสังคมมีความเหมาะสมในการนำไปใช้งานและปกป้องกลุ่มเปราะบางได้อย่างแม่นยำ
UC-16,MSDHS,Priority Evacuation Registry,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"Emergency Evacuation Activation, Local Health Response",Secure Spatial Database / Mobile App,"Variables: Bedridden Patient Locations, Elderly Locations, Flood Hazard Zone Overlay; Resolution: Individual / Household level; Return Periods: Event-based (Near Real-time)",วิเคราะห์ความเปราะบางระดับพื้นที่ย่อยเพื่อระบุกลุ่มเป้าหมายใน Priority Evacuation Registry ช่วยให้การจัดสรรสวัสดิการสังคมมีความเหมาะสมในการนำไปใช้งานและปกป้องกลุ่มเปราะบางได้อย่างแม่นยำ
UC-17,BMA,Neighborhood Heat-Risk Intensity Index,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"Governor Heat Warning Activation, Cooling Center Deployment",Real-time Heat Intensity Map,"Variables: Surface Temperature, Humidex, Cooling Center Locations; Resolution: Neighborhood / 100m Grid; Return Periods: Daily / Hourly",เฝ้าระวังผลกระทบจากพหุภัยในเขตเมืองหลวงเพื่อการสั่งการที่แม่นยำ โดยใช้หลักฐานเชิงประจักษ์เรียลไทม์เพื่อลดความเสี่ยงต่อชีวิตและทรัพย์สินของประชาชน
UC-18,BMA,Infrastructure Resilience Audit,S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ,"Tunnel Procurement Justification, BMA Engineering Code Update",Technical Audit Report / GIS,"Variables: Pump Performance, Drainage Tunnel Capacity, Climate-adjusted Runoff; Resolution: Asset/Network level; Return Periods: 100-year Storm Event",สร้างหลักฐานสนับสนุนการตัดสินใจทางการในการลงทุนโครงสร้างพื้นฐานระบายน้ำขนาดใหญ่ เพื่อยืนยันความคุ้มค่าและสร้างความชอบธรรมตามกฎข้อบังคับต่อหน่วยงานตรวจสอบงบประมาณ
UC-19,DLA,Local Resilience Justification Pack,S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ,"Annual Budget Ordinance, Accumulated Funds (เงินสะสม) Request",Simplified Evidence Summary (Template),"Variables: Localized Hazard Intensity, Economic Value at Risk, Mitigation ROI; Resolution: Municipality (Tesaban); Return Periods: Current + Future Scenarios",สนับสนุนท้องถิ่นในการจัดทำ Local Resilience Justification Pack เพื่อสร้างความชอบธรรมตามกฎข้อบังคับในการใช้งบประมาณสะสม ยืนยันความเหมาะสมในการนำไปใช้งานของโครงการปรับตัวในระดับตำบล
UC-20,DLA,Performance Index (LPA) Alignment,S07: การติดตามและประเมินผลการดำเนินนโยบาย,"Local Performance Assessment (LPA), National NAP Tracking",Key Performance Indicators (KPI),"Variables: LPA Climate Indicators, Local Adaptation Progress, National Target Mapping; Resolution: LAO (Local Administrative Organization); Return Periods: Annual",สนับสนุนท้องถิ่นในการจัดทำ Performance Index (LPA) Alignment เพื่อสร้างความชอบธรรมตามกฎข้อบังคับในการใช้งบประมาณสะสม ยืนยันความเหมาะสมในการนำไปใช้งานของโครงการปรับตัวในระดับตำบล
UC-21,DDPM,Disaster Declaration Justification Certificate,S04: การประเมินความสูญเสียและความเสียหายในอดีต,"Ministry of Finance Relief Fund Activation, Disaster Zone Declaration",Certified JSON Certificate / Official PDF,"Variables: Hazard Magnitude, Area Affected, Impact Magnitude (Death/Injured/Damage); Resolution: District / Sub-district; Return Periods: Event-based",สร้างความชอบธรรมตามกฎข้อบังคับในการประกาศเขตพื้นที่ประสบภัยและการชดเชยเยียวยา โดยใช้หลักฐานเชิงประจักษ์ที่ทวนสอบได้ผ่านระบบ NCAIF เพื่อความโปร่งใสของกองทุน
UC-22,DDPM,Sectoral Impact Valuation,S04: การประเมินความสูญเสียและความเสียหายในอดีต,"Sendai Framework Reporting, Macro-economic Loss Synthesis",Taxonomy-aligned Data Structure,"Variables: Damage Proxy Values, Physical Loss Statistics, Sendai Sectoral Categories; Resolution: Sectoral / National; Return Periods: Post-disaster",สร้างความชอบธรรมตามกฎข้อบังคับในการประกาศเขตพื้นที่ประสบภัยและการชดเชยเยียวยา โดยใช้หลักฐานเชิงประจักษ์ที่ทวนสอบได้ผ่านระบบ NCAIF เพื่อความโปร่งใสของกองทุน
UC-23,NSO,EA-level Population Exposure Analytics,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"Risk Map Exposure Layer Generation, Social Vulnerability Mapping",GIS Vector / Shapefile,"Variables: Population Count, Household Type, Housing Material; Resolution: Enumeration Area (EA) ~250 buildings; Return Periods: 10-year Census cycle",บูรณาการข้อมูลสำมะโนประชากรกับความเสี่ยงภูมิอากาศเพื่อสร้าง EA-level Population Exposure Analytics ที่มีหลักฐานเชิงประจักษ์รองรับ ช่วยให้หน่วยงานอื่นๆ นำข้อมูลไปใช้งานได้อย่างเหมาะสมตามภารกิจ
UC-24,NSO,Consolidated Official Dataset,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"International Data Requests, Official Statistics Mandate",Machine-readable (CSV/API),"Variables: Environment Statistics (FDES), Official Sectoral Baselines, Metatdata standards; Resolution: Varies; Return Periods: Varies",บูรณาการข้อมูลสำมะโนประชากรกับความเสี่ยงภูมิอากาศเพื่อสร้าง Consolidated Official Dataset ที่มีหลักฐานเชิงประจักษ์รองรับ ช่วยให้หน่วยงานอื่นๆ นำข้อมูลไปใช้งานได้อย่างเหมาะสมตามภารกิจ
UC-25,DOH,Health Risk Surveillance System,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"Epidemiological Alert Cycle, National Health Risk Advisories",Epidemiological Data Format (R506 etc.),"Variables: Heat Index, Disease Vector Density, Respiratory Risk Index; Resolution: Sub-district / Health District; Return Periods: Weekly / Seasonal",พัฒนาระบบเฝ้าระวังสุขภาพเชิงรุกจากปัจจัยเสี่ยงภูมิอากาศ เพื่อสร้างความเหมาะสมในการนำไปใช้งานของมาตรการสาธารณสุข และใช้เป็นหลักฐานเชิงประจักษ์ในการวางแผนทรัพยากรทางการแพทย์
UC-26,DOH,Heat-Stress Mortality Projections,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"Health Resource Allocation, Climate-Health Master Plan Update",Predictive Health Models,"Variables: Wet Bulb Globe Temperature (WBGT), Mortality Coefficients, Vulnerable Demographic Count; Resolution: Regional / Provincial; Return Periods: 10, 20, 50-year Projections",พัฒนาระบบเฝ้าระวังสุขภาพเชิงรุกจากปัจจัยเสี่ยงภูมิอากาศ เพื่อสร้างความเหมาะสมในการนำไปใช้งานของมาตรการสาธารณสุข และใช้เป็นหลักฐานเชิงประจักษ์ในการวางแผนทรัพยากรทางการแพทย์
UC-27,ONEP,Ecosystem Risk Repository,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"Protected Area Management Plans, National Biodiversity Strategy",GeoTIFF / Raster GIS,"Variables: Vegetation Indices, Habitat Suitability, Ecosystem Service Maps; Resolution: Park/Protected Area Scale; Return Periods: 10-year Horizon",รวบรวมหลักฐานเชิงประจักษ์ด้านความหลากหลายทางชีวภาพเพื่อประเมินความเหมาะสมในการนำไปใช้งานของแผนจัดการพื้นที่คุ้มครอง สร้างความชอบธรรมตามกฎข้อบังคับในการอนุรักษ์ระบบนิเวศ
UC-28,ONEP,Climate-Adjusted Biodiversity Baselines,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"EIA/EHIA Guidelines, Climate-Biodiversity Policy Integration",Scientific Baseline Reports / GIS,"Variables: Species Range Shifts, Bioclimatic Envelopes, Thermal Thresholds; Resolution: Ecosystem/Ecoregion; Return Periods: Climate Model Timeframes (2050, 2070)",รวบรวมหลักฐานเชิงประจักษ์ด้านความหลากหลายทางชีวภาพเพื่อประเมินความเหมาะสมในการนำไปใช้งานของแผนจัดการพื้นที่คุ้มครอง สร้างความชอบธรรมตามกฎข้อบังคับในการอนุรักษ์ระบบนิเวศ
UC-29,DMR,Predictive Geologic Hazard Mapping,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐาน,"Building Permit Restrictions, Geological Safety Zoning",Geological GIS (Shapefile),"Variables: Landslide Susceptibility, Sinkhole Risk Zones, Soil Stability; Resolution: Site-specific / 1:50,000 Scale; Return Periods: Annual / Event-based",ระบุพื้นที่เสี่ยงภัยทางธรณีวิทยาด้วยพารามิเตอร์ภูมิอากาศล่าสุด เพื่อสร้างความเหมาะสมในการนำไปใช้งานของเกณฑ์การควบคุมการใช้ประโยชน์ที่ดินและงานวิศวกรรมความปลอดภัย
UC-30,UDDC,Neighborhood-scale Double Vulnerability Maps,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"Urban Intervention Targeting, Social Support Program Design",High-res Spatial Analytic Layers,"Variables: Physical Risk overlay, Poverty Indicators, Asset Vulnerability; Resolution: Urban Block / Neighborhood; Return Periods: Current + 10-year Horizon",ใช้การวิเคราะห์ความเสี่ยงระดับบล็อกเมืองเพื่อสนับสนุน Neighborhood-scale Double Vulnerability Maps สร้างความเหมาะสมในการนำไปใช้งานของพื้นที่สีเขียวและการปรับปรุงย่าน เพื่อความปลอดภัยของคนเมือง
UC-31,UDDC,NbS ROI Justification,S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ,"Municipal Budget Approval, NbS Funding Competitions",Economic Benefit Analytics / DSM,"Variables: Water Retention Capacity, Heat Mitigation Benefit, Cost of Grey Infrastructure Avoidance; Resolution: Project / Site Level (20cm drone res); Return Periods: 25-year Lifecycle",ใช้การวิเคราะห์ความเสี่ยงระดับบล็อกเมืองเพื่อสนับสนุน NbS ROI Justification สร้างความเหมาะสมในการนำไปใช้งานของพื้นที่สีเขียวและการปรับปรุงย่าน เพื่อความปลอดภัยของคนเมือง
UC-32,DGA,GDX Authoritative Exchange Entitlement,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"Digital Government Act (Article 15), G2G Data Sharing Request",API Authentication Token / XML-JSON,"Variables: Data Sharing Permissions, Encryption Keys, User Access Level; Resolution: System-to-system; Return Periods: Transactional (Real-time)",สร้างความชอบธรรมตามกฎข้อบังคับในการเชื่อมโยงและแลกเปลี่ยนข้อมูลภูมิอากาศระหว่างหน่วยงาน เพื่อให้เกิดการใช้ข้อมูลที่ผ่านการรับรองมาตรฐานในระบบรัฐบาลดิจิทัล
UC-33,MOTS,Tourism Resilience Info System,S04: การประเมินความสูญเสียและความเสียหายในอดีต,Tourism Recovery Planning,Economic Dashboard,"Variables: Tourism Economic Vulnerability, Loss & Damage Data, Sensitivity Analysis; Resolution: Provincial/Destination; Return Periods: Annual",วิเคราะห์ความเปราะบางของภาคการท่องเที่ยวต่อภัยพิบัติ เพื่อสร้างหลักฐานเชิงประจักษ์ในการวางแผนฟื้นฟูและสร้างความเหมาะสมในการนำไปใช้งานของกองทุนช่วยเหลือผู้ประกอบการ
UC-34,DMCR,Real-time Marine Ecosystem Monitoring,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"Marine Conservation Action, Pollution Alerts",API/Dashboard,"Variables: Sea Surface Temperature, Coral Bleaching Alerts, Water Quality Parameters; Resolution: Coastal Grids / Stations; Return Periods: 1yr historical / 30-day forecast",เฝ้าระวังความเปลี่ยนแปลงของระบบนิเวศทางทะเลเพื่อสร้างความเหมาะสมในการนำไปใช้งานของมาตรการอนุรักษ์ โดยใช้หลักฐานเชิงประจักษ์เรียลไทม์ปกป้องทรัพยากรชายฝั่ง
UC-35,PMUA,Learning Data Repository,S07: การติดตามและประเมินผลการดำเนินนโยบาย,Research Funding Allocation,API,"Variables: Area-based Planning Data, Future Hazard Alerts; Resolution: Regional; Return Periods: Strategic",รวบรวมและวิเคราะห์ข้อมูลการวิจัยเชิงพื้นที่เพื่อสร้างความเหมาะสมในการนำไปใช้งานของงบประมาณด้านวิทยาศาสตร์และนวัตกรรม โดยใช้หลักฐานเชิงประจักษ์ชี้เป้าการพัฒนาที่ตรงจุด
UC-36,ONWR,Integrated Water Management Projections,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,National Water Command Center Directives,API / Source Code,"Variables: Flood/Drought Forecasts, Water Quality, Economic Loss Assessment; Resolution: Basin Level; Return Periods: Seasonal",บูรณาการแบบจำลองคาดการณ์น้ำเพื่อสร้างหลักฐานสนับสนุนการตัดสินใจทางการในการบริหารจัดการทรัพยากรน้ำในระดับลุ่มน้ำ ยืนยันความชอบธรรมตามกฎข้อบังคับในการจัดสรรน้ำ
UC-37,TMD,Localized Flood Risk Maps,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,Early Warning Activation,SHP/GeoJSON,"Variables: Water Absorption Thresholds, Localized Rainfall Peaks; Resolution: Sub-district; Return Periods: Event-based",ยกระดับการเตือนภัยสภาพอากาศสู่การเตือนภัยเชิงผลกระทบระดับท้องถิ่น เพื่อสร้างความเหมาะสมในการนำไปใช้งานของแผนเผชิญเหตุ และลดความสูญเสียด้วยหลักฐานเชิงประจักษ์
UC-38,MD,Marine Infrastructure Risk Assessment,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐาน,"Port Maintenance Regulations, Infrastructure Budget Approval",Risk Maps / Adaptation Manuals,"Variables: Sea Level Rise (SLR) Projections, Coastal Erosion Rates; Resolution: Port/Coastal Segment; Return Periods: 20-50 year Projections",ประเมินความเสี่ยงโครงสร้างพื้นฐานทางน้ำต่อการเพิ่มขึ้นของระดับน้ำทะเล เพื่อสร้างความชอบธรรมตามกฎข้อบังคับในการปรับปรุงท่าเรือและเกณฑ์ความปลอดภัยทางน้ำ
UC-39,HII,EEC Water Scarcity Planning Service,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,EEC Water Allocation Planning,Web Services / API,"Variables: Raw Water Sources, Future Scarcity Projections; Resolution: EEC Industrial Zones; Return Periods: Seasonal / 10-year",วิเคราะห์ความมั่นคงด้านน้ำในเขต EEC เพื่อสร้างหลักฐานสนับสนุนการตัดสินใจทางการในการบริหารจัดการน้ำต้นทุน ยืนยันความเหมาะสมในการนำไปใช้งานของแผนจัดสรรน้ำภาคอุตสาหกรรม
UC-40,LDD,Ag-Sector Carbon & Recovery Support,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"Agricultural Recovery Policy, Carbon Credit Verification",Dashboard / API,"Variables: Plot-level Rainfall/Temp/Damage, Soil Moisture, Crop Impact; Resolution: Plot-level (Agricultural); Return Periods: Seasonal",ตรวจสอบและยืนยันข้อมูลความเสียหายระดับแปลงเกษตรเพื่อสร้างหลักฐานเชิงประจักษ์ในการชดเชยเยียวยา และสร้างความชอบธรรมตามกฎข้อบังคับในการส่งเสริมการทำเกษตรยั่งยืน
