"UC ID","Service Platform","Demand (Data Requirement)","Supply Status (Pillar 3 Evidence)","Readiness","Primary Gap / Blocker"
"UC-21","S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต","Hazard Magnitude, Area Affected, Impact Magnitude","DDPM_2_1, DDPM_2_3, DDPM_3_8","High","READY. Strong historical evidence for disaster declarations."
"UC-22","S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต","Damage Proxy Values, Physical Loss Statistics","DDPM_2_3, NSO_1_6","Medium","Missing standardized translation to Sendai Sectoral Categories."
"UC-23","S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง","Population Count, Household Type, Housing Material","NSO_1_2 (Census EA level)","Medium","Privacy (PDPA) Blocker for EA-level granular access."
"UC-24","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Environment Statistics (FDES), Metatdata standards","NSO_1_7 (FDES)","Low","FDES statistics pending cabinet approval; metadata standards not yet enforced."
"UC-25","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Heat Index, Disease Vector Density","TMD_2_1, DDC_1_1","Medium","Have historical dengue rates, lack dynamic vector density forecasting."
"UC-26","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","WBGT, Mortality Coefficients, Vulnerable Demographic","DOHealth_1_2, NSO_2_3","Medium","Have baseline vulnerable pops; missing explicit Mortality Coefficients for WBGT."
"UC-27","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Vegetation Indices, Habitat Suitability","ONEP_1_1, ONEP_1_2, DNP_1_1","High","READY. Protected areas and wetland boundaries are mapped."
"UC-28","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Species Range Shifts, Bioclimatic Envelopes","No species range data in inventory","Low","Ecological modeling gap; missing species-specific thermal thresholds."
"UC-29","S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน","Landslide Susceptibility, Sinkhole Risk Zones","DMR_2_1, DMR_2_2","High","READY. Landslide susceptibility maps exist from DMR."
"UC-30","S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง","Physical Risk overlay, Poverty Indicators","UDDC_1_3, NSO_2_5 (MPI)","Medium","Data exists, but integration at urban block level requires spatial cross-walking."
"UC-31","S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ","Water Retention Capacity, Cost of Grey Infrastructure Avoidance","UDDC_1_2, UDDC_1_5","Low","Missing Avoided-Loss Curves and standardized NbS valuation models."
"UC-32","S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ","Data Sharing Permissions, Encryption Keys","System-level requirement","Low","Requires Governance implementation (Tiered Access Policy)."
"UC-33","S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต","Tourism Economic Vulnerability, Loss & Damage Data","DOT_2_1 to 2_8, DDPM loss data","Medium","Missing explicit linkage between tourism asset damage and local economic loss."
"UC-34","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Sea Surface Temperature, Coral Bleaching Alerts","GISTDA_2_1, DMCR_2_1","Medium","Missing Real-time API. We have vulnerability maps, but not live telemetry links."
"UC-35","S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว","Area-based Planning Data, Future Hazard Alerts","DCCE_3_1 to 3_6","Medium","Baseline risk exists, lacks integrated regional planning feedback loops."
"UC-36","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Flood/Drought Forecasts, Water Quality","TMD_1_1, TMD_1_2","Medium","Have short-term weather forecasts; missing seasonal economic loss forecasts."
"UC-37","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Water Absorption Thresholds, Localized Rainfall Peaks","LDD_2_5, LDD_2_6","Medium","We have Soil Quality, but lack the Hydrological Threshold logic for flood triggers."
"UC-38","S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน","Sea Level Rise (SLR) Projections, Coastal Erosion Rates","DMCR_1_1, DMCR_4_1","Medium","Historical erosion mapped; missing 50-year SLR engineered projections."
"UC-39","S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย","Raw Water Sources, Future Scarcity Projections","HII_2_1, FTI_1_2","High","READY. EEC scarcity and raw water mapping is robust."
"UC-40","S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง","Plot-level Rainfall/Temp/Damage, Crop Impact","GISTDA_1_4 to 1_10 (40m Crop Grid)","High","READY. GISTDA 40m grid satisfies the Plot-level resolution demand."
