รหัส Use Case,หน่วยงานเจ้าของความต้องการ,ชื่อ Use Case (EN),ชื่อ Use Case (TH),บริการหลักที่เกี่ยวข้อง,การตัดสินใจที่เกี่ยวข้อง,ผลผลิต (Products),ความต้องการข้อมูล (Data Requirements),คำอธิบาย
UC-11,NXPO,Adaptation Research Priority Dashboard,แดชบอร์ดลำดับความสำคัญงานวิจัยด้านการปรับตัว,S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว,"การจัดลำดับความสำคัญงบประมาณวิจัย, ยุทธศาสตร์วิทยาศาสตร์และเทคโนโลยีแห่งชาติ",Business Intelligence Dashboard,"Variables: Research Funding Allocation, Technology Maturity (TRL), Adaptation Gap Analysis; Resolution: Thematic/Sectoral; Return Periods: None",เพื่อจัดสรรทรัพยากรวิจัยให้ตรงจุด แดชบอร์ดนี้วิเคราะห์ช่องว่างเทคโนโลยีด้านการปรับตัวเพื่อใช้เป็นหลักฐานสนับสนุนในการกำหนดทิศทางงบประมาณวิจัยและนวัตกรรมของประเทศ
UC-12,NXPO,Climate Innovation Opportunity Maps,แผนที่โอกาสด้านนวัตกรรมภูมิอากาศ,S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว,"การคัดเลือกพื้นที่ Sandbox นวัตกรรม, การสอดคล้องกับเป้าหมายการปรับตัวระดับโลก (GGA)",Thematic GIS Layers,"Variables: Climate Vulnerability hotspots, Innovation Sandbox Locations, Market Demand for Adapt-Tech; Resolution: Regional/Spatial; Return Periods: 10-20 year Horizon",เพื่อระบุพื้นที่ศักยภาพในการทดสอบนวัตกรรม แผนที่โอกาสนี้แสดงจุดวิกฤตที่ต้องการการแทรกแซงทางเทคโนโลยีเพื่อสนับสนุนการตัดสินใจเลือกพื้นที่ Sandbox ที่มีความชอบธรรมเชิงยุทธศาสตร์
UC-13,FTI,Industrial Water Scarcity Economic Loss Models,แบบจำลองความสูญเสียทางเศรษฐกิจจากการขาดแคลนน้ำในภาคอุตสาหกรรม,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"ศูนย์ปฏิบัติการความมั่นคงด้านน้ำพื้นที่ EEC, การตัดสินใจลงทุนภาคอุตสาหกรรม",Economic Scenarios / Vector GIS,"Variables: Water Supply-Demand Gap, Production Loss per m3 Water Scarcity; Resolution: Industrial Estate / 10 sqkm; Return Periods: 20-year Planning Horizon",เพื่อคุ้มครองเขตเศรษฐกิจพิเศษจากการขาดแคลนน้ำ แบบจำลองความสูญเสียนี้ใช้ประเมินผลกระทบต่อผลผลิตมวลรวมภาคอุตสาหกรรมเพื่อสร้างความชอบธรรมในการลงทุนโครงสร้างพื้นฐานด้านน้ำใน EEC
UC-14,FTI,Water Supply-Demand Forecasts,การคาดการณ์อุปสงค์-อุปทานน้ำ,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"การประกาศมาตรการตอบโต้ภัยแล้ง, การลดความขัดแย้งอุปสงค์-อุปทานน้ำ (EEC)",Time-series API,"Variables: Reservoir Inflow Projections, Industrial Water Demand History (10y+), Supply Projections; Resolution: Basin / EEC Scale; Return Periods: Monthly / Seasonal / 20-year",เพื่อขจัดความขัดแย้งในการจัดสรรทรัพยากรน้ำ การคาดการณ์อุปสงค์-อุปทานช่วยให้ผู้บริหารมีหลักฐานสนับสนุนในการบริหารจัดการน้ำระหว่างภาคเกษตรและอุตสาหกรรมภายใต้สภาวะเอลนีโญ
UC-15,MSDHS,Human Settlement Habitability Projections,การคาดการณ์ความเหมาะสมในการอยู่อาศัยของพื้นที่ตั้งถิ่นฐาน,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"แผนการย้ายถิ่นฐานชุมชนระยะ 5 ปี, โปรแกรมการฝึกทักษะอาชีพใหม่",Risk Classification Maps,"Variables: Permanent Inundation Risk, Habitability Score, Relocation Urgency; Resolution: Neighborhood / Sub-district; Return Periods: 2-5 year Forecast",เพื่อคุ้มครองคุณภาพชีวิตของประชากรในพื้นที่เสี่ยง การคาดการณ์ความเหมาะสมในการอยู่อาศัยใช้เป็นหลักฐานสนับสนุนในการวางแผนอพยพและจัดตั้งชุมชนใหม่ในระยะยาว
UC-16,MSDHS,Priority Evacuation Registry,ทะเบียนการอพยพกลุ่มเป้าหมายเร่งด่วน,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"การประกาศอพยพฉุกเฉิน, การตอบโต้ด้านสาธารณสุขในพื้นที่",Secure Spatial Database / Mobile App,"Variables: Bedridden Patient Locations, Elderly Locations, Flood Hazard Zone Overlay; Resolution: Individual / Household level; Return Periods: Event-based (Near Real-time)",เพื่อลดความสูญเสียต่อชีวิตในช่วงวิกฤต ทะเบียนนี้รวบรวมตำแหน่งกลุ่มเปราะบางรายครัวเรือนเพื่อใช้เป็นเครื่องมือสนับสนุนการปฏิบัติงานของหน่วยกู้ภัยและอาสาสมัครในพื้นที่
UC-17,BMA,Neighborhood Heat-Risk Intensity Index,ดัชนีความเข้มข้นของความเสี่ยงความร้อนระดับย่าน,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"การประกาศเตือนภัยความร้อนโดยผู้ว่าราชการ, การจัดตั้งจุดพักคอยคลายร้อน",Real-time Heat Intensity Map,"Variables: Surface Temperature, Humidex, Cooling Center Locations; Resolution: Neighborhood / 100m Grid; Return Periods: Daily / Hourly",เพื่อตอบโต้ภัยคุกคามจากความร้อนรุนแรงในเมือง ดัชนีความร้อนระดับย่านช่วยให้ผู้บริหารเมืองมีหลักฐานสนับสนุนในการประกาศเตือนภัยและเปิดจุดพักคอยเพื่อคุ้มครองสุขภาพประชาชน
UC-18,BMA,Infrastructure Resilience Audit,การตรวจสอบความมั่นคงปลอดภัยของโครงสร้างพื้นฐาน,S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ,"การสร้างความชอบธรรมในการจัดซื้อโครงการอุโมงค์, การปรับปรุงเกณฑ์วิศวกรรมของ กทม.",Technical Audit Report / GIS,"Variables: Pump Performance, Drainage Tunnel Capacity, Climate-adjusted Runoff; Resolution: Asset/Network level; Return Periods: 100-year Storm Event",เพื่อทวนสอบความมั่นคงของระบบระบายน้ำเมืองหลวง การตรวจสอบประสิทธิภาพตามคาดการณ์ภูมิอากาศช่วยให้ กทม. มีหลักฐานสนับสนุนในการขอนุมัติโครงการอุโมงค์ระบายน้ำขนาดใหญ่
UC-19,DLA,Local Resilience Justification Pack,ชุดข้อมูลสนับสนุนความชอบธรรมในการลงทุนปรับตัวระดับท้องถิ่น,S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ,"เทศบัญญัติ/ข้อบัญญัติงบประมาณรายจ่ายประจำปี, การขออนุมัติใช้เงินสะสม",Simplified Evidence Summary (Template),"Variables: Localized Hazard Intensity, Economic Value at Risk, Mitigation ROI; Resolution: Municipality (Tesaban); Return Periods: Current + Future Scenarios",เพื่อคุ้มครองผู้บริหารท้องถิ่นจากการถูกตรวจสอบงบประมาณ ชุดข้อมูลนี้ให้หลักฐานสนับสนุนความคุ้มค่าของการลงทุนป้องกันภัยพิบัติระดับตำบลเพื่อขอใช้งบสะสมตามระเบียบ
UC-20,DLA,Performance Index (LPA) Alignment,การเชื่อมโยงตัวชี้วัดประสิทธิภาพ (LPA) กับเป้าหมายระดับชาติ,S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว,"การประเมินประสิทธิภาพของ อปท. (LPA), การติดตามผลแผน NAP ระดับชาติ",Key Performance Indicators (KPI),"Variables: LPA Climate Indicators, Local Adaptation Progress, National Target Mapping; Resolution: LAO (Local Administrative Organization); Return Periods: Annual",เพื่อยกระดับการบริหารงานท้องถิ่น การเชื่อมโยงตัวชี้วัด LPA ช่วยให้ อปท. มีแนวทางและหลักฐานสนับสนุนในการดำเนินงานด้านภูมิอากาศที่สอดคล้องกับแผน NAP
UC-21,DDPM,Disaster Declaration Justification Certificate,ใบรับรองประกอบการประกาศเขตพื้นที่ประสบภัย,S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต,"การอนุมัติใช้เงินทดรองราชการเพื่อช่วยเหลือผู้ประสบภัย, การประกาศเขตพื้นที่ประสบภัยพิบัติ",Certified JSON Certificate / Official PDF,"Variables: Hazard Magnitude, Area Affected, Impact Magnitude (Death/Injured/Damage); Resolution: District / Sub-district; Return Periods: Event-based",เพื่อเร่งกระบวนการเยียวยาผู้ประสบภัย ใบรับรองดิจิทัลนี้ใช้ข้อมูลภัยพิบัติเชิงประจักษ์เป็นหลักฐานสนับสนุนในการเบิกจ่ายงบกลางตามระเบียบกระทรวงการคลัง
UC-22,DDPM,Sectoral Impact Valuation,การประเมินมูลค่าผลกระทบรายสาขา,S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต,"การรายงานตามกรอบเซนได (Sendai Framework), การสังเคราะห์ความสูญเสียทางเศรษฐกิจมหภาค",Taxonomy-aligned Data Structure,"Variables: Damage Proxy Values, Physical Loss Statistics, Sendai Sectoral Categories; Resolution: Sectoral / National; Return Periods: Post-disaster",เพื่อรวบรวมสถิติผลกระทบรายภาคส่วนอย่างเป็นระบบ ข้อมูลมูลค่าความเสียหายนี้ใช้ระเบียบวิธี Sendai Framework เพื่อเป็นหลักฐานสนับสนุนในการปรับปรุงแบบจำลองความเสี่ยงในอนาคต
UC-23,NSO,EA-level Population Exposure Analytics,การวิเคราะห์การเปิดรับของประชากรระดับหน่วยย่อยสำมะโน (EA),S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"การจัดทำชั้นข้อมูลการเปิดรับภัย, การทำแผนที่ความเปราะบางทางสังคม",GIS Vector / Shapefile,"Variables: Population Count, Household Type, Housing Material; Resolution: Enumeration Area (EA) ~250 buildings; Return Periods: 10-year Census cycle",เพื่อระบุความหนาแน่นของการเปิดรับภัยในระดับพื้นที่ย่อย การวิเคราะห์ระดับหน่วยย่อยสำมะโน (EA) ช่วยให้หน่วยงานวางแผนป้องกันเชิงรุกได้อย่างแม่นยำด้วยหลักฐานสนับสนุนเชิงประชากร
UC-24,NSO,Consolidated Official Dataset,ชุดข้อมูลสถิติทางการแบบบูรณาการ,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"การร้องขอข้อมูลระดับนานาชาติ, อาณัติการจัดทำสถิติทางการ",Machine-readable (CSV/API),"Variables: Environment Statistics (FDES), Official Sectoral Baselines, Metatdata standards; Resolution: Varies; Return Periods: Varies",เพื่อขจัดปัญหาข้อมูลกระจัดกระจาย ชุดข้อมูลสถิติทางการแบบบูรณาการนี้ใช้เป็น Single Source of Truth สำหรับการอ้างอิงข้อมูลฐานในระดับนานาชาติและนโยบายระดับชาติ
UC-25,DOH,Health Risk Surveillance System,ระบบเฝ้าระวังความเสี่ยงด้านสุขภาพ,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"วงจรการเฝ้าระวังระบาดวิทยา, คำแนะนำความเสี่ยงด้านสุขภาพระดับชาติ",Epidemiological Data Format (R506 etc.),"Variables: Heat Index, Disease Vector Density, Respiratory Risk Index; Resolution: Sub-district / Health District; Return Periods: Weekly / Seasonal",เพื่อเฝ้าระวังภัยคุกคามด้านสาธารณสุขยุคใหม่ ระบบนี้ติดตามความเสี่ยงโรคอุบัติใหม่และผลกระทบจากความร้อนเพื่อใช้เป็นหลักฐานสนับสนุนในการประกาศคำแนะนำด้านสุขภาพ
UC-26,DOH,Heat-Stress Mortality Projections,การคาดการณ์อัตราการเสียชีวิตจากความร้อนรุนแรง,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"การจัดสรรทรัพยากรด้านสุขภาพ, การปรับปรุงแผนแม่บทภูมิอากาศและสุขภาพ",Predictive Health Models,"Variables: Wet Bulb Globe Temperature (WBGT), Mortality Coefficients, Vulnerable Demographic Count; Resolution: Regional / Provincial; Return Periods: 10, 20, 50-year Projections",เพื่อวางแผนทรัพยากรทางการแพทย์ระยะยาว การคาดการณ์อัตราการเสียชีวิตจากความร้อนช่วยให้กระทรวงสาธารณสุขจัดสรรงบประมาณและบุคลากรเพื่อรองรับภาระโรคที่เพิ่มขึ้น
UC-27,ONEP,Ecosystem Risk Repository,คลังข้อมูลความเสี่ยงของระบบนิเวศ,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"แผนการจัดการพื้นที่คุ้มครอง, ยุทธศาสตร์ความหลากหลายทางชีวภาพแห่งชาติ",GeoTIFF / Raster GIS,"Variables: Vegetation Indices, Habitat Suitability, Ecosystem Service Maps; Resolution: Park/Protected Area Scale; Return Periods: 10-year Horizon",เพื่อคุ้มครองทุนทางธรรมชาติของประเทศ คลังข้อมูลความเสี่ยงระบบนิเวศรวบรวมหลักฐานสนับสนุนความเปราะบางของพื้นที่ป่าและแหล่งน้ำเพื่อใช้ในแผนจัดการพื้นที่คุ้มครอง
UC-28,ONEP,Climate-Adjusted Biodiversity Baselines,ข้อมูลฐานความหลากหลายทางชีวภาพที่ปรับตามสภาพภูมิอากาศ,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"แนวทางการจัดทำรายงาน EIA/EHIA, การบูรณาการนโยบายภูมิอากาศและความหลากหลายทางชีวภาพ",Scientific Baseline Reports / GIS,"Variables: Species Range Shifts, Bioclimatic Envelopes, Thermal Thresholds; Resolution: Ecosystem/Ecoregion; Return Periods: Climate Model Timeframes (2050, 2070)",เพื่อสร้างบรรทัดฐานในการประเมินผลกระทบสิ่งแวดล้อม ข้อมูลฐานความหลากหลายทางชีวภาพที่ปรับตามสภาพภูมิอากาศใช้เป็นเกณฑ์มาตรฐานในรายงาน EIA/EHIA
UC-29,DMR,Predictive Geologic Hazard Mapping,แผนที่คาดการณ์ธรณีพิบัติภัย,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐานที่มีภูมิคุ้มกัน,"ข้อจำกัดในการออกใบอนุญาตก่อสร้าง, การกำหนดเขตความปลอดภัยทางธรณีวิทยา",Geological GIS (Shapefile),"Variables: Landslide Susceptibility, Sinkhole Risk Zones, Soil Stability; Resolution: Site-specific / 1:50,000 Scale; Return Periods: Annual / Event-based",เพื่อจำกัดพื้นที่อันตรายจากภัยธรณี แผนที่คาดการณ์ความมั่นคงของชั้นดินใช้เป็นหลักฐานสนับสนุนในการออกข้อกำหนดการก่อสร้างในพื้นที่เสี่ยงดินโคลนถล่ม
UC-30,UDDC,Neighborhood-scale Double Vulnerability Maps,แผนที่ความเปราะบางสองด้านระดับย่าน,S02: การวิเคราะห์ความเสี่ยงในระดับพื้นที่ที่มีความละเอียดสูง,"การระบุเป้าหมายการแทรกแซงทางนโยบายเมือง, การออกแบบโปรแกรมสนับสนุนทางสังคม",High-res Spatial Analytic Layers,"Variables: Physical Risk overlay, Poverty Indicators, Asset Vulnerability; Resolution: Urban Block / Neighborhood; Return Periods: Current + 10-year Horizon",เพื่อระบุพื้นที่วิกฤตซ้อนทับ แผนที่ความเปราะบางสองด้านช่วยให้หน่วยงานผังเมืองและสังคมสงเคราะห์มีหลักฐานสนับสนุนในการแทรกแซงนโยบายในย่านที่มีความยากจนและความเสี่ยงภัยสูง
UC-31,UDDC,NbS ROI Justification,การประเมินความคุ้มค่าของการแก้ปัญหาโดยใช้ธรรมชาติเป็นพื้นฐาน (NbS),S03: หลักฐานสนับสนุนการตัดสินใจด้านการเงินและงบประมาณ,"การอนุมัติงบประมาณเทศบาล, การแข่งขันขอรับทุนโครงการ NbS",Economic Benefit Analytics / DSM,"Variables: Water Retention Capacity, Heat Mitigation Benefit, Cost of Grey Infrastructure Avoidance; Resolution: Project / Site Level (20cm drone res); Return Periods: 25-year Lifecycle",เพื่อสร้างความชอบธรรมในการลงทุนสีเขียว การประเมิน ROI ของ NbS ใช้เปรียบเทียบมูลค่าความเสียหายที่หลีกเลี่ยงได้เพื่อสนับสนุนการเปลี่ยนผ่านจากโครงสร้างพื้นฐานสีเทา
UC-32,DGA,GDX Authoritative Exchange Entitlement,สิทธิการแลกเปลี่ยนข้อมูลทางการผ่าน GDX,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"พรบ. รัฐบาลดิจิทัล (มาตรา 15), การร้องขอแลกเปลี่ยนข้อมูลระหว่างรัฐ (G2G)",API Authentication Token / XML-JSON,"Variables: Data Sharing Permissions, Encryption Keys, User Access Level; Resolution: System-to-system; Return Periods: Transactional (Real-time)",เพื่อคุ้มครองความปลอดภัยของข้อมูลทางการ สิทธิแลกเปลี่ยนผ่าน GDX ช่วยให้การเข้าถึงข้อมูลภูมิอากาศระหว่างหน่วยงานมีความถูกต้องและโปร่งใสตาม พรบ. รัฐบาลดิจิทัล
UC-33,MOTS,Tourism Resilience Info System,ระบบข้อมูลเพื่อภูมิคุ้มกันภาคการท่องเที่ยว,S04: การประเมินความสูญเสียและความเสียหายจากสภาพภูมิอากาศในอดีต,การวางแผนฟื้นฟูการท่องเที่ยว,Economic Dashboard,"Variables: Tourism Economic Vulnerability, Loss & Damage Data, Sensitivity Analysis; Resolution: Provincial/Destination; Return Periods: Annual",เพื่อรักษาขีดความสามารถในการแข่งขันทางการท่องเที่ยว ระบบข้อมูลนี้ประเมินความเปราะบางของแหล่งท่องเที่ยวเพื่อใช้เป็นหลักฐานสนับสนุนในแผนฟื้นฟูและจัดการความเสี่ยง
UC-34,DMCR,Real-time Marine Ecosystem Monitoring,การเฝ้าระวังระบบนิเวศทางทะเลแบบเรียลไทม์,S06: ระบบเฝ้าระวังและเตือนผลกระทบของภัยล่วงหน้าแบบพหุภัย,"มาตรการอนุรักษ์ทรัพยากรทางทะเล, การแจ้งเตือนมลพิษ",API/Dashboard,"Variables: Sea Surface Temperature, Coral Bleaching Alerts, Water Quality Parameters; Resolution: Coastal Grids / Stations; Return Periods: 1yr historical / 30-day forecast",เพื่อตอบโต้ภาวะวิกฤตในมหาสมุทร การเฝ้าระวังแบบเรียลไทม์ช่วยให้กรมทรัพยากรทางทะเลฯ มีหลักฐานสนับสนุนในการประกาศเขตควบคุมเพื่อรักษาปะการังและระบบนิเวศชายฝั่ง
UC-35,PMUA,Learning Data Repository,คลังข้อมูลเพื่อการเรียนรู้เชิงพื้นที่,S07: การติดตามและประเมินผลการดำเนินนโยบายด้านการปรับตัว,การจัดสรรงบประมาณวิจัย,API,"Variables: Area-based Planning Data, Future Hazard Alerts; Resolution: Regional; Return Periods: Strategic",เพื่อสนับสนุนการวางแผนเชิงยุทธศาสตร์ระดับภาค คลังข้อมูลนี้รวบรวมงานวิจัยเชิงพื้นที่เพื่อเป็นหลักฐานสนับสนุนการตัดสินใจจัดสรรทุนพัฒนาจังหวัดและกลุ่มจังหวัด
