Term_ID,Canonical_Name_EN,Canonical_Name_TH,Business_Definition_EN,Business_Definition_TH,Technical_Definition_Tier2,Source_Anchor,Semantic_Owner,CDM_Entity_Link,Usage_Tags,Status
TERM_012,Impact Function,ฟังก์ชันความเสียหาย,A mathematical formula used to calculate damage based on hazard intensity.,สูตรคณิตศาสตร์ที่ใช้คำนวณความเสียหายตามระดับความรุนแรงของภัย,Quantitative damage functions used in actuarial modeling (e.g. CLIMADA).,CLIMADA / P5 Anchor,DCCE Adaptation,IMPACT_FUNCTION,#Impact #Modeling,Approved_Core
TERM_013,Spatial Unit,หน่วยพื้นที่,The common geographic boundary used for data analysis.,ขอบเขตทางภูมิศาสตร์ที่ใช้ในการวิเคราะห์ข้อมูล,"The geometric foundation (Admin Level 3, DGGS, or Catchment) used for spatial joins.",CRDB ,DCCE Adaptation,SPATIAL_UNIT,#Spatial #Geometry,Approved_Core
TERM_014,Baseline,กรณีฐาน,The historical state or reference period used to compare against future changes.,สภาวะในอดีตหรือช่วงอ้างอิงที่ใช้เปรียบเทียบกับการเปลี่ยนแปลงในอนาคต,Reference data or time-period (e.g. 1981-2010) used for model calibration.,IPCC / P2 UC-01,DCCE Adaptation,(Metadata),#Methodology #Baseline,Approved_Core
TERM_015,Projection,การคาดการณ์อนาคต,"A potential future evolution of a quantity or set of quantities, often based on scenarios.",การเปลี่ยนแปลงที่อาจเกิดขึ้นในอนาคตโดยอิงตามสถานการณ์จำลอง,Future climate model outputs based on SSP/RCP scenarios.,IPCC / P2 UC-01,DCCE Mitigation,CLIMATE_SCENARIO,#Climate #Scenario,Approved_Core
TERM_016,LAO,องค์กรปกครองส่วนท้องถิ่น,Local Administrative Organizations; the primary actors responsible for sub-district adaptation.,องค์กรปกครองส่วนท้องถิ่นซึ่งเป็นหน่วยงานหลักในการปรับตัวระดับเมือง,Level-3 administrative units with specific mandates for local planning and budget.,Thai Governance,DCCE Adaptation,SPATIAL_UNIT,#Governance #LAO,Approved_Core
TERM_017,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation; the primary authority for disaster data.,กรมป้องกันและบรรเทาสาธารณภัย หน่วยงานหลักด้านข้อมูลภัยพิบัติ,The source agency for DISASTER_RECORD and LOSS_DAMAGE_RECORD.,Thai Governance,DDPM,(Data Steward),#Governance #Data,Approved_Core
TERM_018,Residual Risk,ความเสี่ยงที่ยังคงอยู่,The risk that remains even after adaptation and risk reduction measures have been implemented.,ความเสี่ยงที่ยังเหลืออยู่หลังจากที่มีการดำเนินมาตรการปรับตัวและลดความเสี่ยงแล้ว,"The calculated risk outcome where Risk = f(H, E, V) and V reflects current adaptation.",ISO 14091,DCCE Adaptation,RISK_METRIC,#Risk #Residual,Approved_Core
TERM_019,Impact Chain,ห่วงโซ่ผลกระทบ,A visual or logical representation of how a hazard cascades through a system to cause impacts.,แผนภาพแสดงความเชื่อมโยงของปัจจัยที่นำไปสู่ผลกระทบจากภัย,A directed acyclic graph (DAG) mapping cause-effect relationships per ISO 14091.,ISO 14091,DCCE Adaptation,FRAMEWORK_STRUCTURE,#Methodology #Impact,Approved_Core
TERM_020,Nature-based Solutions,การแก้ปัญหาโดยใช้ธรรมชาติเป็นฐาน,"Actions that protect, manage, and restore ecosystems to address climate challenges.",มาตรการที่ใช้ระบบนิเวศในการรับมือกับการเปลี่ยนแปลงสภาพภูมิอากาศ,A specific category of ADAPTATION_OPTION focused on ecological restoration.,IUCN / ISO 14090,DCCE Adaptation,ADAPTATION_OPTION,#Adaptation #Nature,Approved_Core
TERM_021,Hotspot,พื้นที่วิกฤต,Geographic areas or sectors that are identified as having the highest concentration of risk.,พื้นที่หรือภาคส่วนที่มีระดับความเสี่ยงสูงที่สุด,A high-intensity outcome of a RISK_ASSESSMENT within a specific SPATIAL_UNIT.,CRDB Strategy,DCCE Adaptation,RISK_METRIC,#Risk #Hotspot,Approved_Core
TERM_022,Hazard Modeling,การทำแบบจำลองภัย,The mathematical representation of physical processes that translate climate variables into hazardous events.,กระบวนการทางคณิตศาสตร์ที่เปลี่ยนตัวแปรสภาพภูมิอากาศให้เป็นเหตุการณ์ภัยอันตราย,Simulations used to produce HAZARD_MAP objects from CLIMATE_DRIVER inputs.,CRDB ,DCCE Adaptation,HAZARD_MODELS,#Hazard #Modeling,Proposed
TERM_023,Hazard Modification,การดัดแปลงภัย,Interventions that alter the physical characteristics of a hazard locally before it reaches receptors.,มาตรการที่ปรับเปลี่ยนลักษณะทางกายภาพของภัยในพื้นที่ก่อนจะถึงผู้รับผลกระทบ,Structural measures that intervene at the Pathway stage of the Source-Pathway-Receptor chain.,CRDB ,DCCE Adaptation,ADAPTATION_OPTION,#Hazard #Modification,Proposed
TERM_024,Sensitivity,ความอ่อนไหวต่อผลกระทบ,The degree to which a system or asset is affected by climate-related stimuli.,ระดับที่ระบบหรือสินทรัพย์ได้รับผลกระทบจากสิ่งเร้าทางภูมิอากาศ,The biophysical or socio-economic susceptibility of a receptor as defined in a VULNERABILITY_DEFINITION.,DCCE M&E Platform,DCCE Adaptation,VULNERABILITY_DEFINITION,#Vulnerability #Sensitivity,Proposed
TERM_025,Adaptive Capacity,ความสามารถในการปรับตัว,The ability of systems/institutions/humans to adjust to potential damage or take advantage of opportunities.,ศักยภาพของระบบ/สถาบัน/มนุษย์ ในการปรับตัวเพื่อรับมือกับความเสียหายหรือใช้ประโยชน์จากโอกาส,The capability component of a RESILIENCE_ASSESSMENT or VULNERABILITY_FRAMEWORK.,DCCE M&E Platform,DCCE Adaptation,RESILIENCE_ASSESSMENT,#Vulnerability #Adaptation,Proposed
TERM_026,Climate Impact Driver,ปัจจัยขับเคลื่อนผลกระทบทางภูมิอากาศ,Physical climate system conditions that affect an element of society or ecosystems.,สภาวะของระบบภูมิอากาศทางกายภาพที่ส่งผลกระทบต่อภาคส่วนต่างๆ ของสังคมหรือระบบนิเวศ,Climatic Impact-Drivers (CID) as defined by IPCC AR6.,IPCC AR6,DCCE Mitigation,CLIMATE_DRIVER,#Climate #Driver,Proposed
TERM_027,Hazard,ภัยอันตราย,A specific hazardous occurrence with time and spatial extent linked to climate drivers.,เหตุการณ์ภัยที่เกิดขึ้นในช่วงเวลาและพื้นที่ที่กำหนด ซึ่งเชื่อมโยงกับปัจจัยขับเคลื่อนสภาพภูมิอากาศ,A forcing variable or trend used as input to hazard modeling or risk assessment.,ψ/incubate/DCCE/CRDB/inbox_note/Hand Drafted CDM .md,DCCE Adaptation,HAZARD_EVENT,#Hazard #ClimateRisk,Proposed
TERM_028,Satellite Observation,ข้อมูลสังเกตการณ์จากดาวเทียม,Remote sensing data capturing the spatial extent and characteristics of a hazard footprint.,ข้อมูลการสำรวจระยะไกลที่บันทึกขอบเขตพื้นที่และลักษณะของร่องรอยของภัย,Primary input for producing the HAZARD_MAP entity via remote sensing.,ψ/incubate/DCCE/CRDB/inbox_note/Hand Drafted CDM .md,GISTDA,HAZARD_MAP,#Satellite #Observation,Proposed
TERM_029,Meteorological Observation,ข้อมูลอุตุนิยมวิทยาเชิงสังเกตการณ์,Measured weather data from stations used as dynamic inputs to hazard models.,ข้อมูลสภาพอากาศที่วัดได้จริงจากสถานีเพื่อใช้เป็นข้อมูลนำเข้าสำหรับแบบจำลองภัย,Measured weather data used as hazard model inputs; linked to HAZARD_MODELS.,ψ/incubate/DCCE/CRDB/inbox_note/Hand Drafted CDM .md,TMD,HAZARD_MODELS,#Meteorology #Observation,Proposed
TERM_030,Risk Assessment,การประเมินความเสี่ยง,The analytical process combining hazards with exposure and vulnerability to quantify risk.,กระบวนการวิเคราะห์ที่นำข้อมูลภัยมาประมวลผลร่วมกับการเปิดรับและความเปราะบางเพื่อประเมินความเสี่ยง,The calculation event combining HAZARD_MAP and CLIMATE_DRIVER with EXPOSURE/VULNERABILITY.,ψ/incubate/DCCE/CRDB/inbox_note/Hand Drafted CDM .md,DCCE Adaptation,RISK_ASSESSMENT,#RiskAssessment #Process,Proposed
TERM_031,Risk Metric,ตัวชี้วัดความเสี่ยง,Quantitative or probabilistic results derived from a risk assessment.,ผลลัพธ์เชิงปริมาณหรือเชิงความน่าจะเป็นที่ได้จากการประเมินความเสี่ยง,The logical output of the RISK_ASSESSMENT entity; probabilistic or composite index scores.,CRDB,DCCE Adaptation,RISK_METRIC,#RiskMetric #Output,Proposed
TERM_032,Risk Analysis,การวิเคราะห์ความเสี่ยง,The process of understanding the nature and level of risk.,กระบวนการทำความเข้าใจลักษณะและระดับของความเสี่ยง,The detailed breakdown of hazard/exposure/vulnerability components within a RISK_ASSESSMENT.,CRDB,DCCE Adaptation,RISK_ASSESSMENT,#Risk #Methodology,Proposed
,Resilience,การมีภูมิคุ้มกัน,,,,DCCE M&E Platform,,,,
TERM_033,Resilience Framework,กรอบแนวคิดการมีภูมิคุ้มกัน,The official names of the logical structure used to define and measure resilience.,ชื่ออย่างเป็นทางการของกรอบเชิงตรรกะที่ใช้ในการนิยามและวัดผลความยืดหยุ่น,A conceptual model mapping dimensions of resilience to specific indicators.,CRI Urban Resilience Curation,DCCE Adaptation,FRAMEWORK_STRUCTURE,#Resilience #Framework,Proposed
TERM_034,Resilience Dimension,มิติความยืดหยุ่น,"Dimensions of resilience (e.g. Coping, Adaptive, Transformative) that constitute and define a resilience framework",มิติของการมีภูมิคุ้มกัน (เช่น ความสามารถในการรับมือ การปรับตัว การเปลี่ยนแปลง) ที่นิยามและประกอบกันเป็นกรอบแนวคิดการมีภูมิคุ้มกัน,Specific categories within a RESILIENCE_ASSESSMENT used for aggregation.,CRI Urban Resilience Curation,DCCE Adaptation,RESILIENCE_ASSESSMENT,#Resilience #Dimension,Proposed
TERM_035,Resilience Structure,โครงสร้างความยืดหยุ่น,The hierarchical mapping of indicators to resilience dimensions.,โครงสร้างการเชื่อมโยงตัวชี้วัดเข้ากับมิติความยืดหยุ่น,The implementation of indicator weightings and logical links in the CDM.,CRDB,DCCE Adaptation,FRAMEWORK_STRUCTURE,#Resilience #Structure,Proposed
TERM_036,Composite Index,ดัชนีรวม,A single score derived from the aggregation of multiple indicators.,คะแนนรวมที่ได้จากการรวบรวมตัวชี้วัดหลายตัวเข้าด้วยกัน,The mathematical output of an index-based RISK_ASSESSMENT or RESILIENCE_ASSESSMENT.,CRDB,DCCE Adaptation,RISK_METRIC,#Methodology #Index,Proposed
TERM_037,Resilience Assessment,การประเมินการมีภูมิคุ้มกัน,Assessment of the coping and recovery potential of a system to climate risks.,การประเมินศักยภาพในการรับมือและฟื้นตัวของระบบต่อความเสี่ยงภูมิอากาศ,The methodology to quantify resilience dimensions (Coping/Adaptive/Transformative).,CRDB,DCCE Adaptation,RESILIENCE_ASSESSMENT,#Resilience #Assessment,Proposed
TERM_038,Vulnerability Frameworks,กรอบความเปราะบาง,The official names of the logical structure used to define and measure vulnerability. ,ชื่ออย่างเป็นทางการของกรอบเชิงตรรกะที่ใช้ในการนิยามและวัดผลความเปราะบาง,An abstract entity serving as a strategy pattern for vulnerability implementation. The frameworks can be broadly categorized into a probabilistic one and index-based one,CRDB,DCCE Adaptation,VULNERABILITY_DEFINITION,#Vulnerability #Definition,Proposed
TERM_039,Impact Function,ฟังก์ชันผลกระทบ,A mathematical formula relating hazard intensity to physical impacts as a consequence. Account for both positive and negative impacts of any systems. ,สูตรคณิตศาสตร์ที่เชื่อมโยงระดับความรุนแรงของภัยกับผลกระทบทางกายภาพที่เกิดขึ้น,Quantitative curves primarily for probabilistic modeling. Used in CLIMADA in a monetary sense as a reduced fraction of total asset value. ,"NGFS, CLIMADA",DCCE Adaptation,IMPACT_FUNCTION,#Impact #Modeling,Proposed
TERM_040,Damage Function,ฟังก์ชันความเสียหาย,"Mathematical relationship translating hazard intensity into economic and monetary losses.
Mathematical relationship translating increased global average temperature into GDP loss.",ความสัมพันธ์เชิงคณิตศาสตร์ที่เปลี่ยนระดับความรุนแรงของภัยเป็นความทางเศรษฐกิจและเงิน,Actuarial relationship used to translate physical hazard intensity into deterministic monetary loss.,"NGFS, CLIMADA",DCCE Adaptation,IMPACT_FUNCTION,#Damage #Modeling,Proposed
TERM_041,Vulnerability Dimensions,กรอบแนวคิดความเปราะบาง,Logic used to conceptualize and aggregate vulnerability indicators.,มิติของการมีภูมิคุ้มกัน (เช่น ความสามารถในการรับมือ การปรับตัว การเปลี่ยนแปลง) ที่นิยามและประกอบกันเป็นกรอบแนวคิดการมีภูมิคุ้มกัน,Entity defining dimensions (Sensitivity/Capacity) and weightings for assessments.,CRDB,DCCE Adaptation,VULNERABILITY_FRAMEWORK,#Vulnerability #Framework,Proposed
TERM_042,Vulnerability Structure,โครงสร้างความเปราะบาง,Mapping structure assigning variables to components in a framework.,โครงสร้างการเชื่อมโยงตัวแปรเข้ากับส่วนประกอบภายใต้กรอบแนวคิด,Semantic layer linking VULNERABILITY_DETERMINANT to specific framework dimensions.,CRDB,DCCE Adaptation,FRAMEWORK_STRUCTURE,#Vulnerability #Structure,Proposed
,Hazard Map,แผนที่ภัย,,,,,,,,
,Disaster,,,,,,,,,
,Disaster Record,,,,,,,,,
,Loss and Damage Record,,,,,,,,,
,Government Advance Fund,เงินทดรองราชการ,,,,,,,,
,Disaster Risk Reduction,การลดความเสี่ยงจากภัยพิบัติ,,,,,,,,
,Adaptation Project,โครงการปรับตัว,,,,,,,,
,Adaptation Measure,มาตรการการปรับตัว,,,,,,,,
,Climate risk,ความเสี่ยงจากสภาพภูมิอากาศ,,,,,,,,
