Thailand NFCS Action Plan (Propose),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,สีเขียว: มีการทำแล้วหรือทำบางส่วน / สีดำ: ยังไม่ได้ทำ,,,,,Timeframe,,,,,,,,,,,,,
,,,,,Participate network system trainings and seminars,"กิจกรรม 1.2.1.3: เข้าร่วมการสัมมนา หลักสูตรฝึกอบรม และกิจกรรมแลกเปลี่ยนความรู้ที่จัดโดยหน่วยงานต่างๆ เพื่อรับความรู้ใหม่ด้านระบบการสังเกตการณ์และติดตาม

Activity 1.2.1.3: Participate in seminars, training courses, and knowledge-exchange activities to acquire new knowledge on observation and monitoring systems",,"ผลผลิต 1.2.1.3: รายงานสรุปการแลกเปลี่ยนความรู้ด้านระบบการสังเกตการณ์และติดตาม

Output 1.2.1.3: Summary report on knowledge exchange regarding observation and monitoring systems",,,X,X,X,• TMD: ศูนย์ภูมิอากาศ,,,,,,,CD,,,
,,,Data Standardization,"กลยุทธ์ 1.2.2 ปรับปรุงการกำหนดมาตรฐานข้อมูลและการจัดการคุณภาพข้ามเครือข่าย

Strategy 1.2.2 Improve data standardization and quality management across networks",Design standardized data catalog system,"กิจกรรม 1.2.2.1: จัดทำ Data Catalog ของข้อมูลที่มีให้บริการจากหน่วยงานเจ้าของระบบตรวจวัดแต่ละแห่ง ให้อยู่ในรูปแบบตามมาตรฐานที่ตกลงกัน

Activity 1.2.2.1: Develop a data catalog of available datasets from all observation system owners to have the same format as agreed",,"ผลผลิต 1.2.2.1: Data Catalog รวบรวม Metadata ของข้อมูลที่มีให้บริการของเจ้าของระบบตรวจวัด

Output 1.2.2.1: Data catalog compiling metadata of available datasets from observation system owners",,,X,X,X,"• GISTDA: สำนักประยุกต์และพัฒนาภูมิสารสนเทศ (สปภ)
• ONWR:
• HII: ฝ่ายนวัตกรรมสารสนเทศทรัพยากรน้ำ งานโทรมาตร
• RID: สำนักบริหารจัดการน้ำและอุทกวิทยา
• DWR:",,,,,,,UIP,,,
CSIS,"เป้าหมาย 2: เสริมสร้างระบบข้อมูลสารสนเทศภูมิอากาศ และขีดความสามารถเพื่อการใช้ประโยชน์อย่างมีประสิทธิภาพ
Goal 2: Strengthen climate information systems and capacities for effective use.",,,,,,,,,,,,,,,,,,,,,,,
,,"วัตถุประสงค์ 2.1: พัฒนาระบบข้อมูลภูมิอากาศแบบบูรณาการ และเพื่อปรับปรุงการจัดการ การเข้าถึง และการแบ่งปันข้อมูลภูมิอากาศ
Objective 2.1: Develop integrated climate information systems to improve the management, accessibility, and sharing of climate data.",,,,,,,,"แพลตฟอร์ม/ฐานข้อมูลภูมิอากาศกลางระดับชาติเปิดใช้งาน พร้อมโครงสร้างการกำกับดูแลข้อมูล และจำนวนชุดข้อมูล/หน่วยงานที่เชื่อมโยงเข้าระบบ

National centralized climate information platform/database operational with a data governance structure; number of datasets and agencies integrated",,,,,,,,"เอกสารโครงสร้างการกำกับดูแลข้อมูล, สถานะการใช้งานแพลตฟอร์ม, log การเชื่อมโยง/เข้าถึงข้อมูล

Data governance documentation, platform operational status, data integration/access logs","รายปี
Annual",,,,,
,,,Centralized Climate Information Database,"กลยุทธ์ 2.1.1 สร้างระบบฐานข้อมูลสารสนเทศกลางของประเทศ โดยกำหนดโครงสร้างข้อมูลสารสนเทศ การกำกับดูแล การแบ่งปันข้อมูล และแนวทางการนำข้อมูลไปใช้

Strategy 2.1.1 Establish a national centralized information database system by defining data architecture, governance, data sharing, and data utilization guidelines",Define data governance structure and design the architecture,"กิจกรรม 2.1.1.1: กำหนดโครงสร้างการกำกับดูแล แบ่งหน้าที่ระบบฐานข้อมูลต่างๆ และกำหนดความรับผิดชอบของหน่วยงานเจ้าของข้อมูล ที่รวมข้อมูลด้านภูมิอากาศ และข้อมูลสารสนเทศด้านการปรับตัวฯ เพื่อให้เป็นคลังข้อมูลกลางระดับประเทศ

Activity 2.1.1.1: Define a data governance structure, assign roles across the various databases, and establish the responsibilities of data-owner agencies, integrating climate data and adaptation information to form a national central data repository.",,"ผลผลิต 2.1.1.1: โครงสร้างการกำกับดูแลของหน่วยงานเจ้าของข้อมูล

Output 2.1.1.1: Data governance structure for data-owner agencies",,,X,,,NFCS Data Providers Working Group,,,,,,,,"• สรุปผลการประชุมเชิงปฏิบัติการ เรื่อง “โครงสร้างการให้บริการข้อมูลภูมิอากาศ และการนำข้อมูลภูมิอากาศ
ไปใช้ในการกำหนดนโยบายและแผนของประเทศ”",,
,,,,,Establish centralized climate adaptation information platform,"กิจกรรม 2.1.1.2: พัฒนาแพลตฟอร์มดิจิทัลด้านการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ เพื่อรวมรวมข้อมูลสารสนเทศที่เกี่ยวข้อง

Activity 2.1.1.2: Develop a digital platform for climate change adaptation to consolidate related information",,"ผลผลิต 2.1.1.2: แพลตฟอร์มข้อมูลการปรับตัวฯแบบบูรณาการระดับชาติ

Output 2.1.1.2: Integrated national climate change adaptation information platform",,,X,,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,NFCS Working Group,,,,,,,• DCCE: โครงการพัฒนาแพลตฟอร์มกลางด้านการปรับตัวปี 70,,
,,,,,Establish centralized climate information platform,"กิจกรรม 2.1.1.3: พัฒนาฐานข้อมูลภูมิอากาศเพื่อรวบรวมข้อมูลภูมิอากาศ และข้อมูลจากระบบตรวจวัด

Activity 2.1.1.3: Develop a climate database to collect climate data and observation and monitoring system data",,"ผลผลิต 2.1.1.3: แพลตฟอร์มข้อมูลสภาพอากาศแบบบูรณาการระดับชาติ

Output 2.1.1.3: Integrated national climate information platform",,,X,,,• TMD: ศูนย์ภูมิอากาศ,,,,,,,,"• Urban Act: ระบบบริการข้อมูลภูมิอากาศแบบบูรณาการสำหรับภาคเมือง (IUS), ฐานข้อมูลภูมิอากาศ (CLDB)",,
,,"วัตถุประสงค์ 2.2: เสริมสร้างขีดความสามารถของผู้มีส่วนได้ส่วนเสียในการร่วมพัฒนาและประยุกต์ใช้บริการและผลิตภัณฑ์ภูมิอากาศ
Objective 2.2: Enhance the capacity of stakeholders to co-develop and apply climate information.",,,,,,,,"จำนวนผู้ให้ข้อมูล ผู้ร่วมผลิต และผู้ใช้ปลายทางที่ผ่านการอบรม และร้อยละที่นำข้อมูล/ผลิตภัณฑ์ภูมิอากาศไปใช้จริง (จำแนกตามเพศ)

Number of data providers, co-producers, and end users trained, and % applying climate information/products in practice (sex-disaggregated)",,,,,,,,"ทะเบียนผู้เข้าอบรม, แบบประเมินก่อน–หลังอบรม, ผลสำรวจการนำไปใช้

Training attendance records, pre/post-training assessments, uptake surveys","รายปี
Annual",,,,,
,,,"Capacity Enhancement 
for producers-users","กลยุทธ์ 2.2.1 เสริมสร้างขีดความสามารถของผู้มีส่วนเกี่ยวข้อง ในระดับชาติ ระดับภูมิภาค และระดับท้องถิ่น เพื่อผลิตบริการภูมิอากาศ

Strategy 2.2.1 Capacity enhancement of stakeholdes at national, sub-national, and local levels to improve the quality of climate services","Provide guildline/training to data providers, co producers to generate climate information","กิจกรรม 2.2.1.1: เสริมสร้างขีดความสามารถของผู้ให้ข้อมูลและผู้ร่วมผลิต ในการจัดทำข้อมูลสารสนเทศและผลิตภัณฑ์ภูมิอากาศ

Activity 2.2.1.1: Enhance the capacity of data providers and co-producers to generate climate information and products",,"ผลผลิต 2.2.1.1: โปรแกรมฝึกอบรมสำหรับผู้ให้ข้อมูลและผู้ร่วมผลิต ในการจัดทำข้อมูลสารสนเทศและผลิตภัณฑ์ภูมิอากาศ

Output 2.2.1.1: Training program for data providers and co-producers to generate climate information and products",,,,X,,• TMD: ศูนย์ภูมิอากาศ,,,,,,,"UIP, CD",,,
,,,,,Increase the use of climate information of end-user.,"กิจกรรม 2.2.1.2: เสริมสร้างขีดความสามารถของผู้ใช้ปลายทาง ในการร่วมพัฒนาข้อมูลสารสนเทศและผลิตภัณฑ์ภูมิอากาศ

Activity 2.2.1.2: Increase the reach, understanding, use, and uptake of climate information",,"ผลผลิต 2.2.1.2: โปรแกรมฝึกอบรมสำหรับผู้ใช้ข้อมูลปลายทาง ในการร่วมพัฒนาข้อมูลสารสนเทศและผลิตภัณฑ์ภูมิอากาศ

Output 2.2.1.2: Training program for end users to co-develop climate information and products",,,,X,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,"UIP, CD",,,
RMP,"เป้าหมาย 3: เสริมสร้างการวิจัยด้านภูมิอากาศ การสร้างแบบจำลอง และการคาดการณ์ เพื่อสนับสนุนการวางแผนเมืองที่มีภูมิคุ้มกันและการปรับตัว
Goal 3: Strengthen climate research, modelling, and prediction to support urban resilient planning and adaptation",,,,,,,,,,,,,,,,,,,,,,,
,,"วัตถุประสงค์ 3.1: เสริมสร้างงานวิจัยเพื่อส่งเสริมการประเมินความเสี่ยงด้านภูมิอากาศ รวมถึงการพัฒนาแบบจำลองและการคาดการณ์สภาภูมิอากาศ เพื่อสนับสนุนการวางแผนระยะยาว
Objective 3.1: Strengthen research to promote climate risk assessment and sector-based modeling and prediction for long-term planning.",,,,,,,,"จำนวนงานวิจัย/แบบจำลอง/เครื่องมือประเมินความเสี่ยงภูมิอากาศสาขาการตั้งถิ่นฐานฯ ที่พัฒนาแล้วเสร็จ และจำนวนพื้นที่นำร่องที่นำเครื่องมือสนับสนุนการตัดสินใจไปใช้

Number of climate risk research studies, models, and assessment tools completed for the human-settlements sector, and number of pilot areas applying decision-support tools",,,,,,,,"รายงานวิจัย/เอกสารเผยแพร่, รายงานผลการนำร่อง, รายงานประเมินช่องว่างความรู้

Research reports/publications, pilot results reports, knowledge-gap assessment report","รายปี
Annual",,,,,
,,,Climate Risk Research,"กลยุทธ์ 3.1.1 ส่งเสริมงานวิจัยที่นำไปสู่การพัฒนาวิธีการและเครื่องมือประเมินความเสี่ยงด้านภูมิอากาศที่เป็นมาตรฐาน สำหรับการวิเคราะห์ในระดับพื้นที่

Strategy 3.1.1 Promote research leading to the development of standardized climate risk assessment methodologies and tools for local-level analysis",Assess gaps & support research on urban specific risks,"กิจกรรม 3.1.1.1: ประเมินงานวิจัยด้านภูมิอากาศระดับชาติที่มีอยู่เกี่ยวกับความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ เพื่อระบุช่องว่างของความรู้ในสาขาการตั้งถิ่นฐานของมนุษย์

Activity 3.1.1.1: Assess existing national climate research on climate change risks to identify knowledge gaps in the human settlements sector",,"ผลผลิต 3.1.1.1: รายงานประเมินช่องว่างความรู้ด้านงานวิจัยภูมิอากาศระดับชาติ

Output 3.1.1.1: Assessment report on knowledge gaps in national climate research",,,X,,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,,,,Develop modelling and risk assessment tools,"กิจกรรม 3.1.1.2: ส่งเสริมการวิจัยเพื่อพัฒนาแบบจำลอง และเครื่องมือประเมินความเสี่ยงด้านภูมิอากาศในสาขาการตั้งถิ่นฐานของมนุษย์

Activity 3.1.1.2: Conduct research to develop climate risk models and assessment tools for the human settlements sector",,"ผลผลิต 3.1.1.2:
• แบบจำลองด้านภูมิอากาศ
• เครื่องมือสำหรับการประเมินความเสี่ยงด้านภูมิอากาศ
• งานวิจัยเกี่ยวกับการประเมินความเสี่ยงในสาขาการตั้งถิ่นฐานฯ

Output 3.1.1.2:
• Climate models
• Tools for climate risk assessment
• Climate risk research for Human settlement sector",,,X,X,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,• DCCE: CMIP6 Downscaling ศูนย์วิจัยการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม,,
,,,,,Pilot decision-support tools,"กิจกรรม 3.1.1.3: ทดลองนำร่องเครื่องมือสนับสนุนการตัดสินใจสำหรับการวางแผนระยะยาว ในองค์กรปกครองส่วนท้องถิ่นหรือพื้นที่เมืองนำร่อง

Activity 3.1.1.3: Pilot decision-support tools for long-term planning in local administrative organizations or pilot urban areas",,"ผลผลิต 3.1.1.3: เครื่องมือสนับสนุนการตัดสินใจที่ผ่านการทดลองใช้ในพื้นที่นำร่อง

Output 3.1.1.3: Decision-support tools piloted in pilot areas",,,,X,X,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,,High-Resolution Climate Modeling,"กลยุทธ์ 3.2.1 ปรับปรุงกระบวนการจัดทำแบบจำลองและการคาดการณ์ภูมิอากาศให้ทันสมัย

Strategy 3.2.1 Modernize climate modelling and projection processes",Develop high-resolution climate modeling,"กิจกรรม 3.2.1.3: ปรับปรุงแบบจำลองและการคาดการณ์ภูมิอากาศให้มีความละเอียดเพิ่มขึ้น เหมาะสมกับสาขาการตั้งถิ่นฐานของมนุษย์

Activity 3.2.1.3: Improve climate models and downscaling methods for the human settlements sector",,"ผลผลิต 3.2.1.3: แบบจำลองภูมิอากาศสำหรับสาขาการตั้งถิ่นฐานของมนุษย์

Output 3.2.1.3: Climate models for the human settlements sector",,,X,X,,• TMD: ศูนย์ภูมิอากาศ,,,,,,,,"• Urban Act: Urban heat modeling, Downscalling for urban flood",,
,,"วัตถุประสงค์ 3.3: เสริมสร้างความร่วมมือทางเทคนิคระหว่างหน่วยงานในประเทศและต่างประเทศ ด้านงานวิจัยและการพัฒนาแบบจำลองภูมิอากาศ
Objective 3.3: Strengthen domestic and international technical collaboration on climate research and modeling",,,,,,,,"จำนวนกลไก/ข้อตกลงความร่วมมือทางเทคนิคกับสถาบันวิจัยและมหาวิทยาลัย ทั้งในและต่างประเทศ และจำนวนบุคลากรที่ได้รับการถ่ายทอดองค์ความรู้

Number of technical collaboration mechanisms/agreements with domestic and international research institutes and universities, and number of personnel receiving knowledge transfer",,,,,,,,"บันทึกข้อตกลง/MoU, รายงานการประชุมความร่วมมือ, ทะเบียนผู้เข้าร่วมหลักสูตร/policy brief

Collaboration agreements/MoUs, forum minutes, training/policy-brief participation records","รายปี
Annual",,,,,
,,,Research & Modelling Collaboration,"กลยุทธ์ 3.3.1 เสริมสร้างความร่วมมือกับสถาบันวิจัยและสถาบันฝึกอบรม เพื่อใช้ประโยชน์จากความเชี่ยวชาญและทรัพยากรในการผลิตงานวิจัยชั้นนำด้านความเสี่ยงภูมิอากาศ การสร้างแบบจำลองภูมิอากาศ และการคาดการณ์

Strategy 3.3.1 Collaborate with research and training institutions to leverage their expertise and resources to produce cutting-edge research in climate risks, climate modeling, and predictions.",Establish collaboration mechanisms with research institutes and universities,"กิจกรรม 3.3.1.1: จัดตั้งกลไกความร่วมมือกับสถาบันฝึกอบรม เพื่อถ่ายทอดองค์ความรู้จากงานวิจัยชั้นนำด้านภูมิอากาศ ไปสู่บุคลากรหน่วยงานรัฐและท้องถิ่น ผ่านหลักสูตรฝึกอบรมและเอกสารเชิงนโยบาย

Activity 3.3.1.1: Establish collaborative mechanisms with training institutions to transfer cutting-edge climate research knowledge to government and local agency personnel through training programmes and policy briefs",,"ผลผลิต 3.3.1.1: กลไกความร่วมมือด้านเทคนิค และเวทีการประชุมตามรอบ ระหว่าง หน่วยงานรัฐ มหาวิทยาลัย และหน่วยงานวิจัยด้านสภาพภูมิอากาศ

Output 3.3.1.1: Technical collaboration mechanisms and periodic forums among government agencies, universities, and climate research institutions",,,X,,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,NFCS Working Group,,,,,,,,,
UIP,"เป้าหมาย 4: เสริมสร้างการมีส่วนร่วมของผู้ใช้ การสื่อสาร และการร่วมผลิตบริการภูมิอากาศระหว่างผู้มีส่วนได้ส่วนเสีย เพื่อสนับสนุนการตัดสินใจตั้งแต่ระดับชาติถึงระดับท้องถิ่น
Goal 4: Strengthen user engagement, communication, and co-production of climate services among stakeholders to support decision-making from national to local levels.",,,,,,,,,,,,,,,,,,,,,,,
,,"วัตถุประสงค์ 4.1: สร้างกลไก สำหรับการมีส่วนร่วมระหว่างผู้ให้บริการและผู้ใช้บริการภูมิอากาศ
Objective 4.1: Establish mechanisms and User Interface Platform (UIP) for delivering climate service to users.",,,,,,,,"แพลตฟอร์มกลาง (UIP) สำหรับเชื่อมโยงผู้ให้บริการ–ผู้ใช้เปิดใช้งาน และจำนวนผู้ใช้/หน่วยงานที่เข้าใช้บริการ

Central user-interface platform (UIP) connecting providers and users operational; number of users/agencies accessing services",,,,,,,,"สถานะการใช้งานแพลตฟอร์ม, สถิติการเข้าใช้งาน, เอกสารบทบาทและการประสานงาน

Platform status, usage statistics, roles/coordination documentation","รายปี
Annual",,,,,
