node_id,node_title_th,requirement_item,btr_tag
SIT-3.2.1,การวิเคราะห์ความเปราะบางและการเปิดรับภัย,บทนิยามและแนวคิดเชิงทฤษฎี (Exposure Sensitivity Adaptive Capacity Resilience),
SIT-3.2.1,การวิเคราะห์ความเปราะบางและการเปิดรับภัย,คลังแบบจำลองฟังก์ชันความเสียหาย (Damage Functions) รายภาคส่วนสำหรับการประเมินภัย,"2, MUST"
SIT-3.2.2,การวิเคราะห์ความเสี่ยง,กรอบแนวทางและขั้นตอนการประเมินความเสี่ยงที่เป็นมาตรฐานเดียวกันของประเทศ,
SIT-3.2.2,การวิเคราะห์ความเสี่ยง,ผลวิเคราะห์ความเสี่ยงรายสาขา (ความมั่นคงทางอาหาร ความมั่นคงด้านน้ำ ผลกระทบต่อสุขภาพจากภัยความร้อน ความเสี่ยงต่อการชะงักทางธุรกิจของ SME),"2, MUST"
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,รายงานสถิติและการประเมินภัยคุกคามระยะยาวที่เกิดขึ้นอย่างช้าๆ (การเพิ่มขึ้นของอุณหภูมิเฉลี่ย การเปลี่ยนแปลงคาบการกระจายน้ำฝน),"5, MUST"
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,ข้อมูลอัตราการเพิ่มขึ้นของระดับน้ำทะเล (Sea-Level Rise) ตลอดแนวชายฝั่งไทยและบริเวณอ่าวไทย,"5, MUST"
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,ข้อมูลการทรุดตัวของแผ่นดิน (Land Subsidence) ในเขตกรุงเทพมหานครและปริมณฑล และการหนุนของน้ำเค็ม (Salinity Intrusion),"5, MUST"
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,ดัชนีการกัดเซาะชายฝั่งและการสูญเสียพื้นที่ชายหาดเชิงสถิติ,"5, SHOULD"
SIT-3.2.3,ผลกระทบลูกโซ่,แผนภูมิแสดงแนวคิดผลกระทบเชื่อมโยงแบบลูกโซ่ (Multi-hazard Impact Chain Analysis),"2, MUST"
SIT-3.2.3,ผลกระทบลูกโซ่,กรณีศึกษาแบบจำลอง Impact Chain ในภาคส่วนเกษตรกรรมและการตั้งถิ่นฐานเมือง,
SIT-3.2.4,ความสูญเสียและความเสียหาย,กรอบทฤษฎี Loss and Damage ภายใต้กรอบอนุสัญญา UNFCCC,"5, MUST"
SIT-3.2.4,ความสูญเสียและความเสียหาย,แดชบอร์ดสรุปสถิติความสูญเสียทางเศรษฐกิจและทางกายภาพจากภัยสภาพอากาศในอดีต,"5, MUST"
SIT-3.2.4,ความสูญเสียและความเสียหาย,การบันทึกสถิติความสูญเสียที่ไม่ใช่เศรษฐกิจ (สุขภาพจิต ความหลากหลายทางชีวภาพ มรดกวัฒนธรรมที่สูญหาย),"5, SHOULD"
SIT-3.2.5,กรอบทฤษฎีและเอกสารคู่มือ,ระเบียบวิธีและเอกสารมาตรฐาน (Manuals) การประเมินความเสี่ยง ผลกระทบ และการคำนวณ Loss and Damage ของหน่วยงานรัฐ,"5, MUST"
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,ระเบียบวิธีประเมินต้นทุนและผลประโยชน์ (Cost-Benefit Analysis) และ Avoided Losses Calculus,"3, MUST"
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,แนวปฏิบัติการบูรณาการมิติด้านเพศวิถี ความเท่าเทียมทางเพศ และสิทธิมนุษยชนในมาตรการปรับตัว (GESI),"3, SHOULD"
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,ข้อมูลมาตรการคุ้มครองและช่วยเหลือกลุ่มเปราะบาง (เด็ก ผู้สูงอายุ ผู้พิการ ชุมชนชายแดน/ชายฝั่ง),"3, SHOULD"
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,การประยุกต์ใช้ภูมิปัญญาท้องถิ่น องค์ความรู้ดั้งเดิม และมรดกทางวัฒนธรรมในการปรับตัวของชุมชน,"3, SHOULD"
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,แผนภาพและเส้นทางกลยุทธ์การดำเนินงาน (NAP Roadmap Execution Staging),"3, MUST"
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,รายงานอุปสรรคเชิงระบบจำแนกรายสาขา (Systemic Barriers: ข้อจำกัดด้านข้อมูล ปัญหาการประสานงานเชิงสถาบัน อุปสรรคด้านทรัพยากรการเงิน),"3, MUST"
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,รายการความต้องการความช่วยเหลือและการสนับสนุนทางการเงิน เทคโนโลยี และการพัฒนาขีดความสามารถ,"3, MUST"
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,ความต้องการการพัฒนาบุคลากรในการเขียนข้อเสนอโครงการเพื่อขอรับทุนสนับสนุนภูมิอากาศโลก,"3, SHOULD"
SIT-3.3.3,ห้องสมุดมาตรการปรับตัวตามสาขา,ระบบสืบค้นและคัดกรองมาตรการเชิงเทคนิคและนโยบาย (Searchable Database) จำแนกตามภัย ภาคส่วน และงบประมาณ,
SIT-3.3.3,ห้องสมุดมาตรการปรับตัวตามสาขา,รายการมาตรการแบบผสมผสานระหว่างมาตรการวิศวกรรมโครงสร้าง (Grey Infrastructure) และ Nature-based Solutions (NBS),
SIT-3.3.4,กรณีศึกษาการวางแผนการปรับตัว,คลังข้อมูลแผนจัดการความเสี่ยงสภาพภูมิอากาศและนโยบายเชิงสถาบันของท้องถิ่นและภาคเอกชน,
SIT-3.3.5,โครงการที่กำลังดำเนินการ,ระบบติดตามสถานะและการดำเนินงานโครงการปรับตัวของประเทศ (โครงการประกันภัยพืชผล Agri-Map การปรับปรุงโครงสร้างควบคุมน้ำ),"4, SHOULD"
SIT-3.3.5,โครงการที่กำลังดำเนินการ,ตัวชี้วัดความพร้อมของโครงการงบประมาณ,
SIT-3.4.1,แนวทางการติดตามและประเมินผลการปรับตัว,กรอบการวิเคราะห์ระดับความก้าวหน้าทางเทคโนโลยีและนวัตกรรมปรับตัว (Technology Readiness Levels),"4, SHOULD"
SIT-3.4.1,แนวทางการติดตามและประเมินผลการปรับตัว,ความเชื่อมโยงกับตัวชี้วัดเป้าหมายการปรับตัวระดับโลก (Global Goal on Adaptation Indicators),"4, MUST"
SIT-3.4.2,ระบบฐานข้อมูลด้านการติดตามและประเมินผลของประเทศไทย,ดัชนีติดตามความก้าวหน้าและระดับการลดความเปราะบางรายภาคส่วนและรายจังหวัด (National M&E Tracker),"4, MUST"
SIT-3.4.3,กรณีศึกษาโครงการปรับตัวที่ประสบความสำเร็จ,คลังบทเรียนโครงการเด่น ถอดบทเรียนความสำเร็จ อุปสรรค และแนวทางปฏิบัติที่เป็นเลิศ,"6, SHOULD"
SIT-4.1,บัญชีข้อมูล,ระบบสืบค้นชุดข้อมูลดิบ (Raw Datasets) ผลิตภัณฑ์วิเคราะห์ข้อมูล และข้อมูลอธิบาย (Metadata Directory) ตามเกณฑ์มาตรฐานความมั่นคงปลอดภัย,
SIT-4.2,Visualization and Analytics Application,ระบบโปรแกรมประยุกต์แสดงแผนที่ภัยและวิเคราะห์ความเสี่ยงเชิงโต้ตอบ สำหรับดึงตัวแปรไปใช้งานวิศวกรรมโยธา (ค่าคาดการณ์ปริมาณฝนและอุณหภูมิระดับแปลง Design Curves/IDF Curves),"2, MUST"
SIT-4.3,ศูนย์รวมเครื่องมือและแหล่งข้อมูลภายนอก,จุดเชื่อมต่อไปยังพอร์ทัลข้อมูลระดับสากลและพอร์ทัลเฉพาะทาง (TMD Weather API GISTDA Geo-Informatics Portal Copernicus Climate Data Store),
SIT-5.1,ประกาศและกิจกรรมการมีส่วนร่วม,ระบบกระจายข่าวสารการอัปเดตข้อมูล กิจกรรมอบรมเชิงปฏิบัติการ (Workshops) ในการวิเคราะห์และตีความข้อมูลสภาพภูมิอากาศเพื่อการวางแผนเชิงพื้นที่,
SIT-5.2,ช่องทางการรับฟังข้อคิดเห็นและบริการผู้ใช้,แพลตฟอร์มรับเสียงสะท้อนจากหน่วยงานผู้ใช้งานในแบบที่เป็นระบบเพื่อปรับปรุงคุณภาพชุดข้อมูล ขยายขอบเขตการบริการ และทวนสอบการตอบสนองความต้องการเชิงสถาบัน,
