Section ID,Node ID,ชื่อโหนด (Thai Title),คำอธิบายเนื้อหา (Content Brief),แหล่งที่มาของข้อมูล (Evidence/Data Source),Technical Asset / URL Origin,ระดับความพร้อมของเนื้อหา (Content Readiness)
3,3.2.3,ผลกระทบลูกโซ่,แนวคิดและแผนผัง Impact Chain Analysis รายสาขา,NC4 / Sectoral Research Reports,DCCE Internal library,Low (Graphic & Narrative Design Required)
3,3.2.4,ความสูญเสียและความเสียหาย (Loss and Damage),สรุปสถิติความเสียหายที่เป็นตัวเงินและไม่ใช่ตัวเงิน,DDPM Disaster Records / UNFCCC Framework,DDPM_2_1 / DDPM_2_3 (Data Catalog),Low (Data Cleanup & UI Design Required)
3,3.2.5,กรอบทฤษฎีและเอกสารคู่มือ,ระเบียบวิธีประเมินความเสี่ยง ผลกระทบ และ L&D,DCCE Technical Manuals (PDF),DCCE Internal library,High (PDF Assets Ready)
3,3.3.1,แนวทางการวางแผนการปรับตัว,คู่มือการออกแบบโครงการ และเกณฑ์ CBA/CEA,Reports from past projects,DCCE Internal library,Low (Synthesis Required)
3,3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ (Roadmap),แผนที่นำทางการดำเนินงานตามแผน NAP,NAP Strategy Document,National Adaptation Plan 2018-2037,Partial (Document Ready; Infographic Required)
3,3.3.3,ห้องสมุดมาตรการปรับตัวตามสาขา,ฐานข้อมูลมาตรการ 100+ มาตรการ พร้อมกรณีศึกษา,Adaptation project piloting reports,DCCE Internal library,Low (Curation & Synthesis Required)
3,3.3.4,กรณีศึกษาการวางแผนการปรับตัว,คลังแผนจัดการความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Adaptation project piloting reports,DCCE Internal library,Low (Curation Required)
3,3.3.5,โครงการที่กำลังดำเนินการ,สถานะการดำเนินงานโครงการปรับตัวระดับประเทศ,Line agency reporting,Adaptation M&E System,Partial (Integration Ready)
3,4.1,แนวทางการติดตามและประเมินผลการปรับตัว,กรอบทฤษฎี M&E และตัวชี้วัด GGA,GGA / DCCE M&E Framework,DCCE M&E Guidelines,Low (Explainer Synthesis Required)
3,4.2,ระบบฐานข้อมูลด้านการติดตามและประเมินผล,การเชื่อมต่อระบบ Adaptation M&E Platform,Adaptation M&E System,Adaptation M&E System,Partial (Integration Ready)
3,4.3,กรณีศึกษาโครงการปรับตัวที่ประสบความสำเร็จ,คลังบทเรียนจากการดำเนินโครงการที่สำเร็จ,External Programs,ecoschool.dcce.go.th / greenhotelthai.com,High (Direct Link)
4,4.1,ข้อมูลรายจังหวัด (Provincial Profiles),Landing Page รายละเอียดเชิงลึกสำหรับ 77 จังหวัด,Spatial Risk Map,ccic.dcce.go.th/riskarea (77 pages),Low (Massive Narrative Synthesis Required)
4,4.2,ข้อมูลรายสาขา (Sectoral Profiles),ข้อมูลเจาะลึก 6 สาขาหลัก (เกษตร/น้ำ/สธ./ฯลฯ),Risk DB Sectoral Chapters / NC4,DCCE Internal library,Low (Impact Chain Synthesis Required)
5,5.1,ห้องสมุดมาตรการปรับตัว (Measures Library UI),ระบบสืบค้นและคัดกรองมาตรการเชิงเทคนิคและนโยบาย,Adaptation project piloting reports,DCCE Internal library,Low (Database Curation Required)
5,5.2,กรณีศึกษาและโครงการที่ประสบความสำเร็จ (Success Hub),การคัดสรรและถอดบทเรียนโครงการเด่นเพื่อเป็นแนวทาง,DCCE SAR / Green Office Assets,dcce.go.th/news/,Partial (Integration Ready)
6,6.1,บัญชีข้อมูล (Data Catalog),ระบบสืบค้นชุดข้อมูล (Datasets | Search | Filter),Data Catalog of CRDB,,Partial (Governance & Metadata Required)
6,6.2,Visualization and Analytics Application,ระบบแอปพลิเคชันสำหรับวิเคราะห์ข้อมูลรายสาขา,Internal Dashboards / Spatial Risk Map,clim-webbased.dcce.go.th,High (App Integration Ready)
6,6.3,ศูนย์รวมเครื่องมือและแหล่งข้อมูลภายนอก,จุดเชื่อมต่อสู่เครื่องมือสากล (ERA5/CMIP6/TMD),External API / Resource Gateway,TMD / GISTDA / ERA5 links,High (Link Hub Ready)
