req_id,node,node_name,sitemap_node_id,requirement_en,requirement_th,status,status_before_correction,corrected_2026_08_12,handling,handling_label,deliverable,service_brief,data_spec,reporting_tag,matched_asset_ids,matched_asset_names,match_rationale,uncovered_subtopics,note
REQ-012,2.1,National climate change situation,SIT-2.1,National macroeconomic loss and damage statistics,ฐานข้อมูลสถิติความสูญเสียและความเสียหายทางเศรษฐกิจระดับชาติ (Macroeconomic Loss & Damage Database),PARTIAL,PARTIAL,,C,Loss and damage,,,,"5, MUST",PUB-026;MED-050,กองทุนจัดการความสูญเสียและความเสียหายจากสภาพภูมิอากาศ (FRLD) | รายงานฉบับสมบูรณ์ (Final report) การประเมินเบื้องต้นต่อสถานภ,FRLD (Loss & Damage fund) publication with national loss/damage context;DCCE-commissioned final report assessing loss & damage status — closest thing to a macroeconomic L&D database,No actual structured macroeconomic L&D database exists — only a funding-mechanism page (PUB-026) and one static assessment report (MED-050).,"MUST priority per sitemap v8; likely deliverable as a summary/rollup view built on REQ-049's data rather than its own build — see Loss and Damage entry, Appendix B"
REQ-013,2.1,National climate change situation,SIT-2.1,National exposure trends,สรุปแนวโน้มภัยคุกคามและการเปิดรับภัยของประเทศ (Exposure Trends),GAP,FULL,YES,B,Product surface,,,,"2, MUST",DAT-005,ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,"Spatial risk/exposure dataset covering 6 sectors nationwide, usable for exposure trend summary",,product surface: exposure trends — data adequacy unassessed
REQ-014,2.2,Area and sector risk profiles,SIT-2.2,Risk profiles for 77 provinces and local government,สรุปโปรไฟล์ความเสี่ยงและความเปราะบางรายพื้นที่ (รายภูมิภาค 77 จังหวัด และระดับท้องถิ่น/อปท.),PARTIAL,GAP,YES,D,Ready to build,DEL-2,,DS-01,"2, MUST",DCCE_3_1;DCCE_3_2;DCCE_3_3;DCCE_3_4;DCCE_3_5;DCCE_3_6,Province-level composite risk index [Baseline-Draft/Unverified-Baseline],"DS-01 (Appendix B2) already names REQ-014 as served by this data. Presentation problem, not a pure data-absence problem, per the requirement's own text.","A-BTR Section B (B-039, B-045) has narrative province-level hazard hotspot content not yet compiled into a profile; municipality-tier LAO coverage confirmed structurally unavailable at this level, see Appendix E.","needs interim fallback rule; serves อบจ./line agencies/Governor's office at province level, not municipality-tier LAO — see Appendix E; status corrected GAP to PARTIAL 2026-08-14 after DS-01's existing REQ-014 linkage and A-BTR Section B were cross-referenced into the deliverable-asset mapping"
REQ-015,2.2,Area and sector risk profiles,SIT-2.2,Risk profiles for the six priority sectors,สรุปโปรไฟล์ความเสี่ยงเฉพาะสาขาเป้าหมายหลัก 6 สาขา (เกษตรกรรม น้ำ สาธารณสุข ท่องเที่ยว ป่าไม้/ระบบนิเวศ พลังงานและการตั้งถิ่นฐาน),PARTIAL,FULL,YES,B,Product surface,,,,"2, MUST",DAT-005;DAT-014,ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ | ข้อมูลการประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,"Risk data explicitly organized by the same 6 priority sectors (water, agri, tourism, health, natural resources, settlements);Adaptation M&E dataset also organized by the 6 sectors",,product surface: 6-sector risk profile — data adequacy unassessed
REQ-016,2.3,"Policy, legal and financial tools",SIT-2.3,Status of the climate change act,สถานะการดำเนินการและแผนดำเนินงานภายใต้ พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ (พ.ร.บ. โลกร้อน),FULL,FULL,,A,Already covered,,,,"1, MUST",PUB-003;PUB-004;MED-074;MED-075,สรุป สาระสำคัญของร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากา | ร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. ... | (ร่าง) พระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. .... (2 | (ร่าง) พระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. .... (1,Official summary of the draft Climate Change Act;Full draft text of the Climate Change Act;Media explainer on the draft Act (part 2/2);Media explainer on the draft Act (part 1/2),,existing asset
REQ-017,2.3,"Policy, legal and financial tools",SIT-2.3,Summary of supporting laws and policy instruments,สรุปมาตรการทางกฎหมายและนโยบายที่ส่งเสริมการปรับตัว (พ.ร.บ. ป้องกันและบรรเทาสาธารณภัย กฎกระทรวงผังเมือง),PARTIAL,GAP,YES,D,Ready to build,DEL-8,,,"1, MUST",,,"No DCCE-published asset in the unified digital asset database covers the disaster prevention act or town planning regulations -- re-searched specifically for this review, confirmed empty. A-BTR Section A already extracts the disaster prevention act (A-REQ-029: primary DRM framework, covers prevention/preparedness/response/recovery/institutional responsibilities) plus the Gender Equality Act, Child Protection Act, Older Persons Act, and Disabilities Empowerment Act as supporting instruments.","Town planning regulations remain genuinely uncovered by any source checked, A-BTR included.","start from adaptation measures, map backward to instruments; tag each instrument by actor (LAO vs. named line agency); status corrected GAP to PARTIAL 2026-08-14 after A-BTR Section A was cross-referenced"
REQ-018,2.3,"Policy, legal and financial tools",SIT-2.3,Avoided losses certification system,ระบบรับรองความเป็นทางการของเครื่องมือการวิเคราะห์การหลีกเลี่ยงความสูญเสีย (Avoided Losses Certification Model),GAP,GAP,,E,Awaiting decision,,E-1,,"3, MUST",,,,,gated on unchosen service — S3 finance
REQ-019,2.3,"Policy, legal and financial tools",SIT-2.3.1,Funding directory and cost-benefit guidance,รายการแหล่งทุนภาครัฐ/เอกชน/ต่างประเทศ และคู่มือวิเคราะห์ความคุ้มค่าโครงการเพื่อประกอบการจัดทำงบประมาณชี้แจง สตง.,PARTIAL,PARTIAL,,E,Awaiting decision,,E-1,,"4, MUST",MED-079;PUB-027;PUB-028;PUB-029,คู่มือ แหล่งทุนด้านการเปลี่ยนแปลงสภาพภูมิอากาศ | กองทุนด้านการปรับตัวต่อผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | กองทุนภูมิอากาศสีเขียว (GCF) | กองทุนสิ่งแวดล้อมโลก (GEF),DCCE guide to climate change funding sources;Adaptation Fund (AF) publication;Green Climate Fund (GCF) publication;Global Environment Facility (GEF) publication and access guide,"Cost-benefit analysis guide for สตง. budget justification not covered — matched assets are fund directories/lists, not a project-value-for-money methodology guide.",gated on unchosen service — S3 finance
REQ-020,2.3,"Policy, legal and financial tools",SIT-2.3.1,Budget allocation statistics and climate budget tagging,รายงานสถิติการจัดสรรงบประมาณแผ่นดินสำหรับการปรับตัวและ Climate Budget Tagging,GAP,GAP,,E,Awaiting decision,,E-1,,"4, SHOULD",,,,,gated on unchosen service — S3 finance
REQ-021,2.3,"Policy, legal and financial tools",SIT-2.3.1,"Tracking of financial, technology and technical assistance",การติดตามการรับเงินช่วยเหลือ เทคโนโลยี และความช่วยเหลือด้านวิชาการจากต่างประเทศ (GCF AF GEF),PARTIAL,PARTIAL,,E,Awaiting decision,,E-1,,"4, MUST",PUB-027;PUB-028;PUB-029;DAT-054;MED-147,กองทุนด้านการปรับตัวต่อผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | กองทุนภูมิอากาศสีเขียว (GCF) | กองทุนสิ่งแวดล้อมโลก (GEF) | คู่มือการพิจารณาออกหนังสือรับรองที่ประเทศไทยไม่มีข้อคัดค้าน  | กระบวนการพิจารณาออกหนังสือรับรองว่าประเทศไทยไม่มีข้อคัดค้านต,Adaptation Fund publication — international support tracking;GCF publication — international support tracking;GEF publication — international support tracking;No-Objection Procedure dataset for GCF project endorsement (DCCE's actual finance-tracking process);Media guide to the GCF no-objection endorsement process,Technology transfer and technical-assistance tracking not covered — matched assets track financial aid (GCF/AF/GEF funding process) only.,gated on unchosen service — S3 finance
REQ-022,2.3,"Policy, legal and financial tools",SIT-2.3.1,Private sector finance mobilisation,การประเมินและการดึงดูดการมีส่วนร่วมของภาคการเงินและภาคเอกชนในการจัดหาทุนเพื่อการปรับตัว,GAP,GAP,,E,Awaiting decision,,E-1,,"4, SHOULD",,,,,gated on unchosen service — S3 finance
REQ-023,2.3,"Policy, legal and financial tools",SIT-2.3.2,DCCE role as national focal point,บทบาทและหน้าที่ของ DCCE ในฐานะจุดประสานงานกลางของประเทศ,FULL,FULL,,A,Already covered,,,,"1, MUST",PUB-025,กระบวนการพิจารณาโครงการด้านการเปลี่ยนแปลงสภาพภูมิอากาศที่ขอร,Describes DCCE's role as National Focal Point for AF/GCF international finance coordination,,existing asset
REQ-024,2.3,"Policy, legal and financial tools",SIT-2.3.2,National climate policy committee structure,โครงสร้างคณะกรรมการนโยบายการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ และคณะอนุกรรมการรายสาขา,FULL,FULL,,A,Already covered,,,,"1, MUST",DAT-013,คำสั่งแต่งตั้งคณะกรรมการ อนุกรรมการ คณะทำงาน ของหน่วยงานอื่น,Dataset of committee/sub-committee appointment orders (national policy committee structure),,existing asset
REQ-025,2.3,"Policy, legal and financial tools",SIT-2.3.2,National to local government coordination,กลไกการประสานงานและบูรณาการการดำเนินงานปรับตัวระหว่างหน่วยงานรัฐระดับชาติและระดับท้องถิ่น (อปท.),PARTIAL,GAP,YES,D,Ready to build,DEL-8,,,"1, MUST",,,"A-BTR Section A's institutional-arrangements entries (A-REQ-019 to 022) cover sectoral focal points, cross-cutting interagency collaboration, and stakeholder participation across the adaptation cycle -- real adjacent grounding, though general/BTR-reporting-shaped rather than this site's specific institutional model.","CRDB's own DOPA-vs-LAO-vs-Governor's-office two-parallel-channels model (Appendix E) is sharper than A-BTR's general framing and still needs writing as original content -- A-BTR provides background, not the finished institutional description.",two parallel channels (line agencies to own provincial offices; LAO on independent authority) plus the Governor's loose convening role — not one hierarchy; status corrected GAP to PARTIAL 2026-08-14 after A-BTR Section A was cross-referenced
REQ-026,2.3,"Policy, legal and financial tools",SIT-2.3.2,Participation channels and statistics,ช่องทางและสถิติการมีส่วนร่วมของภาคประชาสังคม ภาคเอกชน และสถาบันวิชาการในวงจรการปรับตัว,FULL,FULL,,A,Already covered,,,,"1, SHOULD",SYS-024;PUB-053;PUB-054;PUB-055,การเปิดโอกาสให้เกิดการมีส่วนร่วม | การเปิดโอกาสให้เกิดการมีส่วนร่วม ปีงบประมาณ พ.ศ. 2569 | การเปิดโอกาสให้เกิดการมีส่วนร่วม ปีงบประมาณ พ.ศ. 2568 | การเปิดโอกาสให้เกิดการมีส่วนร่วม ปีงบประมาณ พ.ศ. 2567,DCCE 'Opening Opportunities for Participation' system;FY2026 public participation disclosure publication;FY2025 public participation disclosure publication;FY2024 public participation disclosure publication,,existing asset
REQ-027,2.4,Planning data services,SIT-2.4,Local vulnerability and adaptive capacity indices,สถิติและดัชนีความเปราะบางระดับท้องถิ่น (Local Vulnerability & Adaptive Capacity Indices),PARTIAL,PARTIAL,,D,Ready to build,DEL-2,,DS-03,"2, MUST",MED-015,การวิเคราะห์ความเปราะบางและขีดความสามารถในการปรับตัว (Measur,"Media explainer on measuring vulnerability and adaptive capacity — methodology source, not an actual index dataset",No actual index dataset exists — matched asset is an explainer on the methodology only,"theoretical ""Climate Resilience Index"" explainer only in this phase; no computed per-province values"
REQ-028,2.4,Planning data services,SIT-2.4,Integrated spatial risk map,แผนที่ความเสี่ยงเชิงพื้นที่แบบบูรณาการ (Integrated Spatial Risk Maps),FULL,FULL,,B,Product surface,,,,,SYS-003;DAT-005,ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ | ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Existing risk-area map web application;Spatial risk dataset covering 6 sectors nationwide,,product surface — recorded Full rests on unverified product credit; adequacy unassessed
REQ-029,2.4,Planning data services,SIT-2.4,National data security guidance,แนวทางและข้อกำหนดความปลอดภัยข้อมูลระดับประเทศสำหรับการสืบค้นเชิงวิชาการ,EXCLUDED,FULL,,EXCLUDED,Dropped — not relevant,,,,,,,,,Dropped by Boss review 2026-08-13 — not relevant to this platform; kept as an excluded record rather than deleted
REQ-030,3.1,Climate drivers and future scenarios,SIT-3.1.1,Weather station observation data,ชุดข้อมูลสภาพอากาศรายสถานีสังเกตการณ์ระยะสั้นและระยะกลาง (ความร่วมมือกรมอุตุนิยมวิทยา),GAP,GAP,,D,Ready to build,DEL-3,,DS-04,,,,,,data partnership dependency
REQ-031,3.1,Climate drivers and future scenarios,SIT-3.1.1,Satellite observation data,ชุดข้อมูลสังเกตการณ์ผ่านดาวเทียม (พื้นที่ป่าไม้ Land Cover แหล่งน้ำ แนวปะการังฟอกขาว),GAP,GAP,,D,Ready to build,DEL-3,,DS-04,"2, MUST",,,,,data partnership dependency
REQ-032,3.1,Climate drivers and future scenarios,SIT-3.1.1,Monitoring of global climate phenomena,ข้อมูลการติดตามปรากฏการณ์สภาพภูมิอากาศที่มีนัยสำคัญระดับสากล (ENSO AMOC),PARTIAL,PARTIAL,,D,Ready to build,DEL-5,,DS-05,"2, SHOULD",MED-105,ทำความรู้จักกับ “สภาวะ ENSO-Neutral”,"Media explainer on ENSO-Neutral conditions — general audience content on ENSO, not a monitoring feed",AMOC not covered at all; ENSO is covered only by a one-off general-audience explainer,
REQ-033,3.1,Climate drivers and future scenarios,SIT-3.1.2,Climatology and key climate variables,ข้อมูล Climatology และตัวแปรทางสภาพภูมิอากาศที่สำคัญ (Temperature trends Rainfall intensity changes),PARTIAL,PARTIAL,,D,Ready to build,DEL-1,,DS-02,"2, MUST",DCCE_2_1;DCCE_2_2,"ปริมาณน้ำฝน (GridData, historical) [Grid/Restricted/Baseline-Draft] | อุณหภูมิสูงสุด (GridData, historical) [Grid/Restricted/Baseline-Draft]","WP2 data catalog v4: multi-decade (1981-2023) national grid data for temperature and rainfall variables -- direct match for climatology variables, though raw grid, not derived trend statistics. Access rights Restricted.",Raw grid data exists for temperature/rainfall; trend-derivation and processing still needed. Access Restricted.,data partnership dependency
REQ-034,3.1,Climate drivers and future scenarios,SIT-3.1.2,Climate scenario usage guide,คู่มือและบทอธิบายการใช้งานฉากทัศน์ภูมิอากาศ (Climate Scenarios),GAP,GAP,,E,Awaiting decision,,E-2,,,,,,,gated on unchosen service — S8 uncertainty
REQ-035,3.1,Climate drivers and future scenarios,SIT-3.1.2,Downscaled future projection library,คลังชุดข้อมูลคาดการณ์อนาคตความละเอียดสูงระดับประเทศ (Downscaled climate projections),PARTIAL,PARTIAL,,D,Ready to build,DEL-5,,DS-06,"2, MUST",DCCE_2_11;DCCE_2_16;DCCE_2_17;DCCE_2_18;DCCE_2_19,"ปริมาณน้ำฝน (RegCM5, EC-Earth3-Veg) [Grid/Restricted/Baseline-Draft] | ปริมาณน้ำฝน (Statistical Downscaling,  [Grid/Restricted/Baseline-Draft] | อุณหภูมิสูงสุด (Statistical Downscalin [Grid/Restricted/Baseline-Draft] | อุณหภูมิต่ำสุด (Statistical Downscalin [Grid/Restricted/Baseline-Draft] | อุณหภูมิเฉลี่ย (Statistical Downscalin [Grid/Restricted/Baseline-Draft]","WP2 data catalog v4: RegCM5 dynamically-downscaled (EC-Earth3-Veg driving model) and CMIP6 statistically-downscaled (ACCESS-CM2, MIROC6, MPI-ESM1-2) national projection datasets through 2099/2100, covering rainfall and temperature. Grid resolution is national, not sub-national/plot-level; access rights Restricted.",Real downscaled projection datasets exist through 2099 but at national grid resolution (not high-res sub-national) and Restricted access -- Boss to judge if this meets the 'high-resolution' bar for FULL.,"content and explainer, link to clim-webbased.dcce.go.th rather than re-hosting (asset unregistered, needs formal entry)"
REQ-036,3.1,Climate drivers and future scenarios,SIT-3.1.3,National uncertainty management standard,มาตรฐานการบริหารจัดการความไม่แน่นอนและแนวทางการเลือกชุดข้อมูลคาดการณ์อนาคต (National Climate Uncertainty Governance Standard),GAP,GAP,,E,Awaiting decision,,E-2,,"2, MUST",,,,,gated on unchosen service — S8 uncertainty
REQ-037,3.1,Climate drivers and future scenarios,SIT-3.1.3,Case studies applying projections to planning,ตัวอย่างกรณีศึกษาการประยุกต์ใช้แบบจำลองคาดการณ์สภาพภูมิอากาศในการวางแผนกลยุทธ์ระยะยาว,GAP,GAP,,D,Ready to build,DEL-7,,,,,,,,
REQ-038,3.2,"Risk, impact chains, loss and damage",SIT-3.2.1,Definitions of core vulnerability concepts,บทนิยามและแนวคิดเชิงทฤษฎี (Exposure Sensitivity Adaptive Capacity Resilience),PARTIAL,PARTIAL,,D,Ready to build,DEL-6,,,,DAT-014;MED-015,ข้อมูลการประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ | การวิเคราะห์ความเปราะบางและขีดความสามารถในการปรับตัว (Measur,"Dataset defines adaptation/vulnerability concepts per IPCC (exposure, sensitivity, adaptive capacity are implicit);Media piece specifically on measuring vulnerability & adaptive capacity","Sensitivity and Resilience concepts are not explicitly confirmed — rationale hedges with ""implicit"" coverage; only Vulnerability and Adaptive Capacity are directly addressed.",
REQ-039,3.2,"Risk, impact chains, loss and damage",SIT-3.2.1,Sector damage function library,คลังแบบจำลองฟังก์ชันความเสียหาย (Damage Functions) รายภาคส่วนสำหรับการประเมินภัย,GAP,GAP,,E,Awaiting decision,,E-1,,"2, MUST",,,,,gated on unchosen service — S3 damage-function modelling
REQ-040,3.2,"Risk, impact chains, loss and damage",SIT-3.2.2,National risk assessment methodology,กรอบแนวทางและขั้นตอนการประเมินความเสี่ยงที่เป็นมาตรฐานเดียวกันของประเทศ,PARTIAL,PARTIAL,,D,Ready to build,DEL-6,,,,PUB-012;MED-125,คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ,DCCE impact-chain manual is the closest existing national risk-assessment methodology document;Media/reprint version of the same impact-chain manual,No purpose-built national risk-assessment standard document exists — the impact-chain manual is the closest proxy,explainer-level framework only; official binding guideline deferred; CRVA/CRM (GIZ/UNDRR) noted as adoptable reference methodologies
REQ-041,3.2,"Risk, impact chains, loss and damage",SIT-3.2.2,Sector risk results,ผลวิเคราะห์ความเสี่ยงรายสาขา (ความมั่นคงทางอาหาร ความมั่นคงด้านน้ำ ผลกระทบต่อสุขภาพจากภัยความร้อน ความเสี่ยงต่อการชะงักทางธุรกิจของ SME),PARTIAL,PARTIAL,,B,Product surface,,,,"2, MUST",DAT-005;MED-004;MED-033,ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ | ซูเปอร์เอลนีโญกับความมั่นคงด้านน้ำของประเทศไทย เมื่อ “น้ำ” ก | เกษตรบนเส้นทางเปราะบางต่อภูมิอากาศ : บังกลาเทศการปรับตัวเพื่,Spatial risk data covering food/water/health/settlement sectors;Media piece on water security risk (El Nino);Media piece on agriculture/food security vulnerability,SME business-disruption risk not covered at all; heat-specific health impact not clearly represented (only general 'health' sector spatial data).,product surface: sector risk results — data adequacy unassessed
