asset_id,asset_title,asset_type,description,front_end_url,resource_url,source_group,owner,format
"PUB-003","สรุป สาระสำคัญของร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. ...","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดพ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","https://www.dcce.go.th/datacenter/3350/","https://www.dcce.go.th/wp-content/uploads/2025/02/สรุปสาระสำคัญ-พรบ.-การเปลี่ยนแปลงสภาพภูมิอากาศ.pdf","ศูนย์ข้อมูลกลาง > พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-004","ร่างพระราชบัญญัติการเปลี่ยนแปลงสภาพภูมิอากาศ พ.ศ. ...","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดพ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","https://www.dcce.go.th/datacenter/3345/","https://www.dcce.go.th/wp-content/uploads/2025/02/ร่าง-พ.ร.บ.-การเปลี่ยนแปลงสภาพภูมิอากาศ-พ.ศ.-.pdf","ศูนย์ข้อมูลกลาง > พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-005","NDC Action Plan on Mitigation 2021 – 2030","Knowledge Asset","แผนปฏิบัติการด้านการลดก๊าซเรือนกระจกของประเทศ ปี พ.ศ. 2564 – 2573 (ค.ศ. 2021 – 2030) จัดทำขึ้นเพื่อเป็นกรอบการดำเนินงานด้านการลดก๊าซเรือนกระจกของประเทศรายสาขา สอดคล้องตามการมีส่วนร่วมที่ประเทศกำหนด (Nationally Determined Contribution : NDC) มีเป้าประสงค์ในการบรรลุเป้าหมายการลดก๊าซเรือนกร","https://www.dcce.go.th/datacenter/653/","https://www.dcce.go.th/wp-content/uploads/2025/03/E-Book_แผนปฏิบัติการด้านการลดก๊าซเรือนกระจก-2025.04.26-.pdf","ศูนย์ข้อมูลกลาง > แผนปฏิบัติการลดก๊าซเรือนกระจกของประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-006","NDC Action Plan on Mitigation","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดแผนปฏิบัติการลดก๊าซเรือนกระจกของประเทศ","https://www.dcce.go.th/datacenter/651/","https://www.dcce.go.th/datacenter/651/","ศูนย์ข้อมูลกลาง > แผนปฏิบัติการลดก๊าซเรือนกระจกของประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-007","รายงานความโปร่งใสรายสองปี ฉบับที่ 1 (Thailand’s First Biennial Transparency Report : BTR1)","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","https://www.dcce.go.th/datacenter/6827/","https://www.dcce.go.th/wp-content/uploads/2024/12/Submitted-1st-BTR_compressed-1.pdf","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-008","รายงานความโปร่งใสรายสองปี ฉบับที่ 1 (Thailand Biennial Transparency Report : BTR1) ฉบับประชาชน","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","https://www.dcce.go.th/datacenter/6821/","https://www.dcce.go.th/wp-content/uploads/2025/03/รายงานความโปร่งใสรายสองปี-ฉบับที่-1-BTR1-ฉบับประชาชน.pdf","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-009","แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ (Thailand's National Adaptation Plan : NAP)","Knowledge Asset","แผน NAP เป็นกรอบแนวทางสำคัญในการเสริมสร้างภูมิคุ้มกันให้ประเทศ พร้อมรับมือกับผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ และมุ่งสู่การพัฒนาที่ยั่งยืน ครอบคลุม 6 ด้านสำคัญ ได้แก่ 💧 การจัดการทรัพยากรน้ำ 🌾 เกษตรและความมั่นคงทางอาหาร 🏖️ การท่องเที่ยว 🏥 สาธารณสุข 🌿 การจัดการทรัพยา","https://www.dcce.go.th/datacenter/6553/adaptation/national-adaptation-plan-nap-2568/","https://www.dcce.go.th/datacenter/6553/adaptation/national-adaptation-plan-nap-2568/","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-010","ระบบฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงภูมิอากาศ","Knowledge Asset","ระบบฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงภูมิอากาศ โดย กองขับเคลื่อนการเปรับตัวต่อการเปลี่ยนแหลงสภาพภูมิอากาศ","https://www.dcce.go.th/datacenter/19250/","https://www.dcce.go.th/datacenter/19250/","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-011","วารสารด้านการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","https://www.dcce.go.th/datacenter/22750/","https://www.dcce.go.th/datacenter/22750/","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-012","คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ","Knowledge Asset","คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ จัดทำโดย กองขับเคลื่อนการปรับตัวจากการเปลี่ยนแปลงสภาพภูมิอากาศ /กลุ่มวิเคราะห์ความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ เผยแพร่เมื่อธันวาคม 2567 ประเภทสื่อ: สื่อสิ่งพิมพ์ / คู่มือ","https://www.dcce.go.th/datacenter/19243/","https://www.dcce.go.th/media/5075/?download_file=1&file_id=5076","ศูนย์ข้อมูลกลาง > การปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-013","COP 30","Knowledge Asset","ธรรมชาติและอาหาร: ปกป้องป่าเขตร้อนและการเกษตรยุคใหม่ การประชุม COP30 ในภูมิภาคแอมะซอนเน้นย้ำความสำคัญของการคุ้มครองธรรมชาติอย่างไม่เคยมีมาก่อน โดยเปิดตัวกองทุนเพื่อป่าเขตร้อนตลอดกาล (Tropical Forest Forever Facility – TFFF) ด้วยเงินตั้งต้น 5,500 ล้านดอลลาร์ ตั้งเป้าระดมให้ถึง 1.25 หมื่นล้าน","https://www.dcce.go.th/datacenter/14682/","https://www.dcce.go.th/datacenter/14682/","ศูนย์ข้อมูลกลาง > การประชุมด้านสภาพภูมิอากาศโลก","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-014","COP 29","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการประชุมด้านสภาพภูมิอากาศโลก","https://www.dcce.go.th/datacenter/3356/","https://www.dcce.go.th/wp-content/uploads/2025/02/COP29-Interactive-Screen.pdf","ศูนย์ข้อมูลกลาง > การประชุมด้านสภาพภูมิอากาศโลก","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-015","COP 28","Knowledge Asset","ประเด็นสำคัญจากการประชุมรัฐภาคีกรอบอนุสัญญาสหประชาชาติ ว่าด้วยการเปลี่ยนแปลงสภาพภูมิอากาศ สมัยที่ 28 (COP28) ระหว่างวันที่ 30 พฤศจิกายน – 12 ธันวาคม พ.ศ. 2566 ณ เมืองดูไบ สหรัฐอาหรับเอมิเรตส์ มีประเด็นสำคัญ ดังนี้ ด้านการลดก๊าซเรือนกระจก – เร่งเปลี่ยนผ่านด้านพลังงานที่เป็น","https://www.dcce.go.th/datacenter/3358/","https://www.dcce.go.th/datacenter/3358/","ศูนย์ข้อมูลกลาง > การประชุมด้านสภาพภูมิอากาศโลก","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-016","รายงานความก้าวหน้ารายสองปี (Biennial Update Report : BUR)","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดรายงานระดับชาติ","https://www.dcce.go.th/datacenter/3373/","https://www.dcce.go.th/datacenter/3373/","ศูนย์ข้อมูลกลาง > รายงานระดับชาติ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-017","รายงานแห่งชาติ (National Communication: NC)","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดรายงานระดับชาติ","https://www.dcce.go.th/datacenter/3360/","https://www.dcce.go.th/datacenter/3360/","ศูนย์ข้อมูลกลาง > รายงานระดับชาติ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-018","รายงานความโปร่งใสรายสองปี (Thailand Biennial Transparency Report : BTR)","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดรายงานระดับชาติ","https://www.dcce.go.th/datacenter/2878/","https://www.dcce.go.th/datacenter/2878/","ศูนย์ข้อมูลกลาง > รายงานระดับชาติ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-019","Thailand's policy for the implementation of Article 6 of the Paris Agreement (นโยบายของไทยในการดำเนินงานตามข้อ 6 ของความตกลงปารีส)","Knowledge Asset","Related Document Thailand's NDC Action Plan on Mitigation 2021-2030 (Unofficial Translation) แผนปฏิบัติการด้านการลดก๊าซเรือนกระจกของประเทศ พ.ศ. 2564-2573","https://www.dcce.go.th/article6/policies/","https://www.dcce.go.th/wp-content/uploads/2025/08/English_NDC-Action-Plan-on-Mitigation_clean.pdf","ศูนย์ข้อมูลกลาง > การใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-020","Article 6.2 Authorized Projects (โครงการที่ได้รับการอนุญาตภายใต้กลไกข้อ 6.2)","Knowledge Asset","สิ่งพิมพ์/เอกสารเผยแพร่ในศูนย์ข้อมูลกลาง หมวดการใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","https://www.dcce.go.th/datacenter/21035/","https://www.dcce.go.th/datacenter/21035/","ศูนย์ข้อมูลกลาง > การใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-021","Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","Knowledge Asset","Projects Authorized for CORSIA Eligible Emissions Units (CEUs)","https://www.dcce.go.th/datacenter/24625/","https://www.dcce.go.th/datacenter/24625/","ศูนย์ข้อมูลกลาง > การใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-022","Implementation Agreement on Article 6 between Thailand and Singapore (ข้อตกลงความร่วมมือระหว่างราชอาณาจักรไทยและสาธารณรัฐสิงคโปร์)","Knowledge Asset","ข้อตกลงนี้จัดทำขึ้นเพื่อเป็นกรอบความร่วมมือโดยสมัครใจ ภายใต้ข้อ 6.2 ของความตกลงปารีส สำหรับการถ่ายโอนผลการลดก๊าซเรือนกระจกระหว่างประเทศ (Internationally Transferred Mitigation Outcomes: ITMOs) โดยมีกระบวนการอนุญาตที่สอดคล้องกับหลักการ มาตรการ และนโยบายของทั้งสองประเทศ สาระสำคัญของข้อตกลง ได้แก่","https://www.dcce.go.th/article6/thiland-singapore/","https://www.dcce.go.th/wp-content/uploads/2025/08/Implementation-Agreement-on-Article-6-of-PA-between-Thailand-and-Singapore.pdf","ศูนย์ข้อมูลกลาง > การใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-023","Implementing Agreement to the Paris Agreement between the Kingdom of Thailand and the Swiss Confederation (ข้อตกลงการดำเนินงานภายใต้ความตกลงปารีสระหว่างราชอาณาจักรไทยกับสมาพันธรัฐสวิส)","Knowledge Asset","On the occasion of the 90th anniversary of diplomatic relations, the Kingdom of Thailand and the Swiss Confederation issued a Joint Statement on cooperation in addressing climate change. Both countries expressed their shared commitment to enhance collaboration under Article 6 of the Paris Agreement","https://www.dcce.go.th/article6/thailand-switzerland/","https://www.dcce.go.th/wp-content/uploads/2025/08/IA-ENG-1.pdf","ศูนย์ข้อมูลกลาง > การใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","PDF"
"PUB-024","บันทึกความร่วมมือว่าด้วยกลไกเครดิตร่วมระหว่างรัฐบาลแห่งราชอาณาจักรไทยกับรัฐบาลญี่ปุ่น (Memorandum of Cooperation on the Joint Crediting Mechanism between the Government of Japan and the Government of the Kingdom of Thailand)","Knowledge Asset","120 หมู่ที่ 3 ชั้น 9 อาคารรัฐประศาสนภักดี ศูนย์ราชการเฉลิมพระเกียรติฯ&nbsp;ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210 โทรศัพท์ : 02-141 9841-9 | โทรสาร: 02-143 8404","https://www.dcce.go.th/article6/jcm/","https://www.dcce.go.th/article6/jcm/","ศูนย์ข้อมูลกลาง > การใช้คาร์บอนเครดิตเพื่อวัตถุประสงค์ระหว่างประเทศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
"PUB-025","กระบวนการพิจารณาโครงการด้านการเปลี่ยนแปลงสภาพภูมิอากาศที่ขอรับการสนับสนุนทางการเงินในกรอบระหว่างประเทศ","Knowledge Asset","กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม (สส.) ทำหน้าที่เป็นหน่วยประสานงานหลัก (National Focal Point) ของกองทุน AF และกองทุน GCF โดยมีปลัดกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อมทำหน้าที่เป็นผู้มีอำนาจ (Designated Authority) ในการลงนามรับรองข้อเสนอโครงการ การให้ความเห็นชอบต่อการเข้าถึงเงินสนับสนุนจ","https://www.dcce.go.th/datacenter/25115/","https://www.dcce.go.th/datacenter/25115/","ศูนย์ข้อมูลกลาง > การเงินและการลงทุนด้านภูมิอากาศ","กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","Web Page"
