node_id,node_title_th,requirement_item,btr_tag,matched_asset_ids,match_rationale,priority_flag,coverage_completeness,uncovered_subtopics
SIT-2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,สถิติเหตุการณ์อากาศสุดขั้วในอดีต (อุณหภูมิสูงสุด-ต่ำสุด สถิติปริมาณฝนสะสม),,DCCE_2_1;DCCE_2_2,"WP2 data catalog v4: daily/monthly historical temperature max/min and rainfall grid data, 1981-2023, national coverage -- raw material for extreme-event statistics, but not pre-computed as event statistics. Access rights Restricted; raster grid format needs processing.",,PARTIAL,Raw historical grids exist but require aggregation into actual extreme-event statistics; data access is Restricted.
SIT-2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,ฐานข้อมูลสถิติความสูญเสียและความเสียหายทางเศรษฐกิจระดับชาติ (Macroeconomic Loss & Damage Database),"5, MUST",PUB-026;MED-050,FRLD (Loss & Damage fund) publication with national loss/damage context;DCCE-commissioned final report assessing loss & damage status — closest thing to a macroeconomic L&D database,disaster-loss-statistics,PARTIAL,No actual structured macroeconomic L&D database exists — only a funding-mechanism page (PUB-026) and one static assessment report (MED-050).
SIT-2.1,สถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศของประเทศ,สรุปแนวโน้มภัยคุกคามและการเปิดรับภัยของประเทศ (Exposure Trends),"2, MUST",DAT-005,"Spatial risk/exposure dataset covering 6 sectors nationwide, usable for exposure trend summary",,GAP,
SIT-2.2,สรุปโปรไฟล์ของความเสี่ยงรายพื้นที่และรายภาคส่วน,สรุปโปรไฟล์ความเสี่ยงและความเปราะบางรายพื้นที่ (รายภูมิภาค 77 จังหวัด และระดับท้องถิ่น/อปท.),"2, MUST",GAP,,,GAP,
SIT-2.2,สรุปโปรไฟล์ของความเสี่ยงรายพื้นที่และรายภาคส่วน,สรุปโปรไฟล์ความเสี่ยงเฉพาะสาขาเป้าหมายหลัก 6 สาขา (เกษตรกรรม น้ำ สาธารณสุข ท่องเที่ยว ป่าไม้/ระบบนิเวศ พลังงานและการตั้งถิ่นฐาน),"2, MUST",DAT-005;DAT-014,"Risk data explicitly organized by the same 6 priority sectors (water, agri, tourism, health, natural resources, settlements);Adaptation M&E dataset also organized by the 6 sectors",,PARTIAL,
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,สถานะการดำเนินการและแผนดำเนินงานภายใต้ พ.ร.บ. การเปลี่ยนแปลงสภาพภูมิอากาศ (พ.ร.บ. โลกร้อน),"1, MUST",PUB-003;PUB-004;MED-074;MED-075,Official summary of the draft Climate Change Act;Full draft text of the Climate Change Act;Media explainer on the draft Act (part 2/2);Media explainer on the draft Act (part 1/2),A-BTR,FULL,
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,สรุปมาตรการทางกฎหมายและนโยบายที่ส่งเสริมการปรับตัว (พ.ร.บ. ป้องกันและบรรเทาสาธารณภัย กฎกระทรวงผังเมือง),"1, MUST",GAP,,A-BTR,GAP,
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,ระบบรับรองความเป็นทางการของเครื่องมือการวิเคราะห์การหลีกเลี่ยงความสูญเสีย (Avoided Losses Certification Model),"3, MUST",GAP,,,GAP,
SIT-2.3,เครื่องมือทางนโยบาย กฎหมาย และการเงิน,สถานะการดำเนินการตามแผนการปรับตัวระดับชาติ (NAP Implementation Status),,DAT-014,"DCCE's live Adaptation M&E dataset (dgf.dcce.go.th/dataset/m-and-e) is tagged NAP among its keywords and tracks adaptation progress annually -- same asset already backing 3.4.1/3.4.2's M&E items -- but it's the general M&E platform, not a tracker dedicated to ""is the NAP plan itself on schedule"" specifically.",,PARTIAL,"Restored from v6 this session, not previously extracted; no NAP-plan-progress tracker distinct from the general M&E platform exists."
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,รายการแหล่งทุนภาครัฐ/เอกชน/ต่างประเทศ พร้อมกรณีศึกษาการใช้งานจริง และคู่มือวิเคราะห์ความคุ้มค่าโครงการเพื่อประกอบการจัดทำงบประมาณชี้แจง สตง.,"4, MUST",MED-079;PUB-027;PUB-028;PUB-029,DCCE guide to climate change funding sources;Adaptation Fund (AF) publication;Green Climate Fund (GCF) publication;Global Environment Facility (GEF) publication and access guide,A-BTR,PARTIAL,"Cost-benefit analysis guide for สตง. budget justification not covered — matched assets are fund directories/lists, not a project-value-for-money methodology guide. Finance case-study documents (restored emphasis from v6 this session) also not represented among matched assets -- these are fund directories/guides, not case studies of actual usage."
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,รายงานสถิติการจัดสรรงบประมาณแผ่นดินสำหรับการปรับตัวและ Climate Budget Tagging,"4, SHOULD",GAP,,A-BTR,GAP,
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,การติดตามการรับเงินช่วยเหลือ เทคโนโลยี และความช่วยเหลือด้านวิชาการจากต่างประเทศ (GCF AF GEF),"4, MUST",PUB-027;PUB-028;PUB-029;DAT-054;MED-147,Adaptation Fund publication — international support tracking;GCF publication — international support tracking;GEF publication — international support tracking;No-Objection Procedure dataset for GCF project endorsement (DCCE's actual finance-tracking process);Media guide to the GCF no-objection endorsement process,A-BTR,PARTIAL,Technology transfer and technical-assistance tracking not covered — matched assets track financial aid (GCF/AF/GEF funding process) only.
SIT-2.3.1,แหล่งทุนและการติดตามงบประมาณปรับตัว,การประเมินและการดึงดูดการมีส่วนร่วมของภาคการเงินและภาคเอกชนในการจัดหาทุนเพื่อการปรับตัว,"4, SHOULD",GAP,,A-BTR,GAP,
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,บทบาทและหน้าที่ของ DCCE ในฐานะจุดประสานงานกลางของประเทศ,"1, MUST",PUB-025,Describes DCCE's role as National Focal Point for AF/GCF international finance coordination,A-BTR,FULL,
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,โครงสร้างคณะกรรมการนโยบายการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ และคณะอนุกรรมการรายสาขา,"1, MUST",DAT-013,Dataset of committee/sub-committee appointment orders (national policy committee structure),A-BTR,FULL,
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,กลไกการประสานงานและบูรณาการการดำเนินงานปรับตัวระหว่างหน่วยงานรัฐระดับชาติและระดับท้องถิ่น (อปท.),"1, MUST",GAP,,A-BTR,GAP,
SIT-2.3.2,กลไกเชิงสถาบันและการประสานงาน,ช่องทางและสถิติการมีส่วนร่วมของภาคประชาสังคม ภาคเอกชน และสถาบันวิชาการในวงจรการปรับตัว,"1, SHOULD",SYS-024;PUB-053;PUB-054;PUB-055,DCCE 'Opening Opportunities for Participation' system;FY2026 public participation disclosure publication;FY2025 public participation disclosure publication;FY2024 public participation disclosure publication,A-BTR,FULL,
SIT-3.1.1,ข้อมูลสังเกตุการณ์,ชุดข้อมูลสภาพอากาศรายสถานีสังเกตการณ์ระยะสั้นและระยะกลาง (ความร่วมมือกรมอุตุนิยมวิทยา),,GAP,,,GAP,
SIT-3.1.1,ข้อมูลสังเกตุการณ์,ชุดข้อมูลสังเกตการณ์ผ่านดาวเทียม (พื้นที่ป่าไม้ Land Cover แหล่งน้ำ แนวปะการังฟอกขาว),"2, MUST",GAP,,,GAP,
SIT-3.1.1,ข้อมูลสังเกตุการณ์,ข้อมูลการติดตามปรากฏการณ์สภาพภูมิอากาศที่มีนัยสำคัญระดับสากล (ENSO AMOC),"2, SHOULD",MED-105,"Media explainer on ENSO-Neutral conditions — general audience content on ENSO, not a monitoring feed",,PARTIAL,AMOC not covered at all; ENSO is covered only by a one-off general-audience explainer
SIT-3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,ข้อมูล Climatology และตัวแปรทางสภาพภูมิอากาศที่สำคัญ (Temperature trends Rainfall intensity changes),"2, MUST",DCCE_2_1;DCCE_2_2,"WP2 data catalog v4: multi-decade (1981-2023) national grid data for temperature and rainfall variables -- direct match for climatology variables, though raw grid, not derived trend statistics. Access rights Restricted.",,PARTIAL,Raw grid data exists for temperature/rainfall; trend-derivation and processing still needed. Access Restricted.
SIT-3.1.2,ปัจจัยขับเคลื่อนทางภูมิอากาศ,คลังชุดข้อมูลคาดการณ์อนาคตความละเอียดสูงระดับประเทศ (Downscaled climate projections),"2, MUST",DCCE_2_11;DCCE_2_16;DCCE_2_17;DCCE_2_18;DCCE_2_19,"WP2 data catalog v4: RegCM5 dynamically-downscaled (EC-Earth3-Veg driving model) and CMIP6 statistically-downscaled (ACCESS-CM2, MIROC6, MPI-ESM1-2) national projection datasets through 2099/2100, covering rainfall and temperature. Grid resolution is national, not sub-national/plot-level; access rights Restricted.",,PARTIAL,Real downscaled projection datasets exist through 2099 but at national grid resolution (not high-res sub-national) and Restricted access -- Boss to judge if this meets the 'high-resolution' bar for FULL.
SIT-3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,คู่มือและบทอธิบายการใช้งานฉากทัศน์ภูมิอากาศ (Climate Scenarios),,GAP,,,GAP,
SIT-3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,มาตรฐานการบริหารจัดการความไม่แน่นอนและแนวทางการเลือกชุดข้อมูลคาดการณ์อนาคต (National Climate Uncertainty Governance Standard),"2, MUST",GAP,,,GAP,
SIT-3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,ตัวอย่างกรณีศึกษาการประยุกต์ใช้แบบจำลองคาดการณ์สภาพภูมิอากาศในการวางแผนกลยุทธ์ระยะยาว,,GAP,,,GAP,
SIT-3.1.3,ฉากทัศน์ภูมิอากาศในอนาคต,แหล่งข้อมูล climate scenario,"2, MUST",DCCE_2_11;DCCE_2_16;DCCE_2_17;DCCE_2_18;DCCE_2_19,"Same downscaled climate-projection datasets already backing 3.1.2's projections item (RegCM5/CMIP6-derived, national grid, through 2099/2100, Restricted access) -- this v6-restored item is a pointer to that same underlying data source, not a separate dataset.",,PARTIAL,"Restored from v6 this session, not previously extracted; same national-grid-resolution and Restricted-access caveats as 3.1.2's projections item apply since it's the same data."
SIT-3.2.1,การวิเคราะห์ความเปราะบางและการเปิดรับภัย,บทนิยามและแนวคิดเชิงทฤษฎี (Exposure Sensitivity Adaptive Capacity Resilience),,DAT-014;MED-015,"Dataset defines adaptation/vulnerability concepts per IPCC (exposure, sensitivity, adaptive capacity are implicit);Media piece specifically on measuring vulnerability & adaptive capacity",,PARTIAL,"Sensitivity and Resilience concepts are not explicitly confirmed — rationale hedges with ""implicit"" coverage; only Vulnerability and Adaptive Capacity are directly addressed."
SIT-3.2.1,การวิเคราะห์ความเปราะบางและการเปิดรับภัย,คลังแบบจำลองฟังก์ชันความเสียหาย (Damage Functions) รายภาคส่วนสำหรับการประเมินภัย,"2, MUST",GAP,,,GAP,
SIT-3.2.2,การวิเคราะห์ความเสี่ยง,กรอบแนวทางและขั้นตอนการประเมินความเสี่ยงที่เป็นมาตรฐานเดียวกันของประเทศ,,PUB-012;MED-125,DCCE impact-chain manual is the closest existing national risk-assessment methodology document;Media/reprint version of the same impact-chain manual,,PARTIAL,No purpose-built national risk-assessment standard document exists — the impact-chain manual is the closest proxy
SIT-3.2.2,การวิเคราะห์ความเสี่ยง,ผลวิเคราะห์ความเสี่ยงรายสาขา (ความมั่นคงทางอาหาร ความมั่นคงด้านน้ำ ผลกระทบต่อสุขภาพจากภัยความร้อน ความเสี่ยงต่อการชะงักทางธุรกิจของ SME),"2, MUST",DAT-005;MED-004;MED-033,Spatial risk data covering food/water/health/settlement sectors;Media piece on water security risk (El Nino);Media piece on agriculture/food security vulnerability,,PARTIAL,SME business-disruption risk not covered at all; heat-specific health impact not clearly represented (only general 'health' sector spatial data).
SIT-3.2.2,การวิเคราะห์ความเสี่ยง,แหล่งข้อมูลผลการประเมินความเสี่ยงอื่นๆ,,GAP,,,GAP,"Restored from v6 this session, not previously extracted; no directory of ""other risk-assessment sources/pointers"" exists as a distinct asset."
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,รายงานสถิติและการประเมินภัยคุกคามระยะยาวที่เกิดขึ้นอย่างช้าๆ (การเพิ่มขึ้นของอุณหภูมิเฉลี่ย การเปลี่ยนแปลงคาบการกระจายน้ำฝน),"5, MUST",GAP,,disaster-loss-statistics,GAP,
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,ข้อมูลอัตราการเพิ่มขึ้นของระดับน้ำทะเล (Sea-Level Rise) ตลอดแนวชายฝั่งไทยและบริเวณอ่าวไทย,"5, MUST",MD_1_2,"WP2 data catalog v4 (MD_1_2): annual sea-level observation dataset explicitly tagged related_hazards=Sea-level Rise, source Marine Department Hydrology Group, national coverage through 2026. Raw annual level readings, not a computed rate-of-rise statistic; access rights Restricted.",disaster-loss-statistics,PARTIAL,"Real annual sea-level observation data exists but is raw readings, not a derived rate-of-rise statistic; access Restricted."
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,ข้อมูลการทรุดตัวของแผ่นดิน (Land Subsidence) ในเขตกรุงเทพมหานครและปริมณฑล และการหนุนของน้ำเค็ม (Salinity Intrusion),"5, MUST",GAP,,disaster-loss-statistics,GAP,
SIT-3.2.2.1,การติดตามภัยคุกคามที่เกิดขึ้นช้า,ดัชนีการกัดเซาะชายฝั่งและการสูญเสียพื้นที่ชายหาดเชิงสถิติ,"5, SHOULD",MED-127;MED-128;MED-129;MED-130;MED-133;MED-134;MED-135;MED-136;MED-137;DMCR_1_1;DMCR_4_1,"Coastal-climate-impact infographic series (Gulf of Thailand coastal provinces); coastal adaptation/impact infographics (9 pieces, narrative only). WP2 data catalog v4 update: DMCR_1_1 (WebGIS) and DMCR_4_1 (field-verified) provide real annual, area-based (km2) coastal erosion extent data, explicitly tagged related_hazards=Coastal erosion, at national and province granularity respectively.",disaster-loss-statistics,PARTIAL,"Real quantitative erosion-extent data exists (DMCR_1_1/4_1), not just narrative infographics as previously recorded -- but it is raw area figures, not a pre-built statistical index, so PARTIAL (not FULL) still holds."
SIT-3.2.3,ผลกระทบลูกโซ่,แผนภูมิแสดงแนวคิดผลกระทบเชื่อมโยงแบบลูกโซ่ (Multi-hazard Impact Chain Analysis),"2, MUST",PUB-012;MED-125;MED-048,Impact-chain methodology manual;Media reprint of the impact-chain manual;Case study applying impact-chain analysis to the 2025 Hat Yai flood,,FULL,
SIT-3.2.3,ผลกระทบลูกโซ่,กรณีศึกษาแบบจำลอง Impact Chain ในภาคส่วนเกษตรกรรมและการตั้งถิ่นฐานเมือง,,MED-048,In-depth case study of the 2025 Hat Yai flood using impact-chain analysis (urban/flood context),,PARTIAL,Agriculture-sector impact-chain case study not represented — matched asset only covers the urban/flood (Hat Yai) case.
SIT-3.2.4,ความสูญเสียและความเสียหาย,กรอบทฤษฎี Loss and Damage ภายใต้กรอบอนุสัญญา UNFCCC,"5, MUST",PUB-026,FRLD fund publication is grounded in the UNFCCC Loss & Damage framework,disaster-loss-statistics,PARTIAL,No dedicated L&D theoretical-framework document exists — matched asset is a funding-mechanism page
SIT-3.2.4,ความสูญเสียและความเสียหาย,แดชบอร์ดสรุปสถิติความสูญเสียทางเศรษฐกิจและทางกายภาพจากภัยสภาพอากาศในอดีต,"5, MUST",MED-050;DDPM_3_2;DDPM_2_3;RFD_1_2,"DCCE-commissioned assessment report (MED-050) gives narrative context. WP2 data catalog v4 update: DDPM_3_2 (drought damage value, THB/year, national+province), DDPM_2_3 (property damage counts/THB, flagged by its own source as delayed/miscategorized data needing AI cleanup), RFD_1_2 (5-year forest-loss rate by province) are real machine-readable annual loss records -- genuine dashboard-capable raw data, not just a static report as previously recorded.",disaster-loss-statistics,PARTIAL,"Real structured per-hazard loss records exist (mostly Restricted access, self-flagged data-quality issues) but nothing aggregates them into one cross-hazard economic+physical dashboard view -- PARTIAL still holds, evidence base upgraded."
SIT-3.2.4,ความสูญเสียและความเสียหาย,การบันทึกสถิติความสูญเสียที่ไม่ใช่เศรษฐกิจ (สุขภาพจิต ความหลากหลายทางชีวภาพ มรดกวัฒนธรรมที่สูญหาย),"5, SHOULD",MED-108;MED-150,Media piece on biodiversity impacts under rising temperature (non-economic loss category);Environmental-education manual covering climate change and biodiversity loss,disaster-loss-statistics,PARTIAL,Mental health impacts and cultural heritage loss are not covered — both matched assets address biodiversity loss only.
SIT-3.2.5,กรอบทฤษฎีและเอกสารคู่มือ,ระเบียบวิธีและเอกสารมาตรฐาน (Manuals) การประเมินความเสี่ยง ผลกระทบ และการคำนวณ Loss and Damage ของหน่วยงานรัฐ,"5, MUST",PUB-012;MED-125,Impact-chain manual is the closest existing standardized risk/impact assessment methodology document (no dedicated L&D calculation manual exists),disaster-loss-statistics,PARTIAL,No dedicated Loss & Damage calculation manual exists — matched asset (impact-chain manual) covers risk/impact methodology only
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,ระเบียบวิธีประเมินต้นทุนและผลประโยชน์ (Cost-Benefit Analysis) และ Avoided Losses Calculus,"3, MUST",GAP,,,GAP,
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,แนวปฏิบัติการบูรณาการมิติด้านเพศวิถี ความเท่าเทียมทางเพศ และสิทธิมนุษยชนในมาตรการปรับตัว (GESI),"3, SHOULD",GAP,,,GAP,
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,ข้อมูลมาตรการคุ้มครองและช่วยเหลือกลุ่มเปราะบาง (เด็ก ผู้สูงอายุ ผู้พิการ ชุมชนชายแดน/ชายฝั่ง),"3, SHOULD",MED-002,"Media piece on protecting vulnerable groups (health) during extreme heat — topically adjacent, not a protection-measures inventory",,PARTIAL,"None of the four named groups (children, elderly, disabled, border/coastal communities) have dedicated coverage — matched asset is only topically adjacent (general heat-health vulnerability), not a protection-measures inventory."
SIT-3.3.1,แนวทางการวางแผนและการออกแบบโครงการแบบมีส่วนร่วม,การประยุกต์ใช้ภูมิปัญญาท้องถิ่น องค์ความรู้ดั้งเดิม และมรดกทางวัฒนธรรมในการปรับตัวของชุมชน,"3, SHOULD",GAP,,,GAP,
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,แผนภาพและเส้นทางกลยุทธ์การดำเนินงาน (NAP Roadmap Execution Staging),"3, MUST",PUB-009;DAT-021,National Adaptation Plan document and dataset — source for roadmap/staging content,,FULL,
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,รายงานอุปสรรคเชิงระบบจำแนกรายสาขา (Systemic Barriers: ข้อจำกัดด้านข้อมูล ปัญหาการประสานงานเชิงสถาบัน อุปสรรคด้านทรัพยากรการเงิน),"3, MUST",GAP,,,GAP,
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,รายการความต้องการความช่วยเหลือและการสนับสนุนทางการเงิน เทคโนโลยี และการพัฒนาขีดความสามารถ,"3, MUST",MED-079;PUB-027;PUB-028;PUB-029,DCCE funding-source guide;Adaptation Fund publication;GCF publication;GEF publication,,PARTIAL,Technology support and capacity-building support are not covered — matched assets are all financial funding sources only.
SIT-3.3.2,เส้นทางกลยุทธ์การปรับตัวของประเทศ,ความต้องการการพัฒนาบุคลากรในการเขียนข้อเสนอโครงการเพื่อขอรับทุนสนับสนุนภูมิอากาศโลก,"3, SHOULD",GAP,,,GAP,
SIT-3.3.3,ห้องสมุดมาตรการปรับตัวตามสาขา,ระบบสืบค้นและคัดกรองมาตรการเชิงเทคนิคและนโยบาย (Searchable Database) จำแนกตามภัย ภาคส่วน และงบประมาณ,,GAP,,,GAP,
SIT-3.3.3,ห้องสมุดมาตรการปรับตัวตามสาขา,รายการมาตรการแบบผสมผสานระหว่างมาตรการวิศวกรรมโครงสร้าง (Grey Infrastructure) และ Nature-based Solutions (NBS),,DAT-022;MED-042;VID-036,NbS (nature-based solutions) adaptation guidance dataset;Media explainer on Nature-Based Solutions;Video explainer on Nature-Based Solutions,,PARTIAL,Grey/structural infrastructure measures not covered at all — all three matched assets address Nature-based Solutions only.
SIT-3.3.4,กรณีศึกษาการวางแผนการปรับตัว,คลังข้อมูลแผนจัดการความเสี่ยงสภาพภูมิอากาศและนโยบายเชิงสถาบันของท้องถิ่นและภาคเอกชน,,GAP,,,GAP,
SIT-3.4.1,แนวทางการติดตามและประเมินผลการปรับตัว,กรอบการวิเคราะห์ระดับความก้าวหน้าทางเทคโนโลยีและนวัตกรรมปรับตัว (Technology Readiness Levels),"4, SHOULD",DAT-014;MED-016;MED-019,"Part of DCCE's live Adaptation M&E platform holdings (dgf.dcce.go.th/dataset/m-and-e) and its supporting M&E methodology media series -- assumed covered as part of the confirmed, actively maintained M&E system rather than checked as a standalone document match.",A-BTR,FULL,
SIT-3.4.1,แนวทางการติดตามและประเมินผลการปรับตัว,ความเชื่อมโยงกับตัวชี้วัดเป้าหมายการปรับตัวระดับโลก (Global Goal on Adaptation Indicators),"4, MUST",MED-024;MED-049,Media piece specifically on the Global Goal on Adaptation (GGA) Indicators and Thailand's alignment;Media piece on the 59 Belem Indicators for the GGA framework,A-BTR,FULL,
SIT-3.4.2,ระบบฐานข้อมูลด้านการติดตามและประเมินผลของประเทศไทย,ระบบติดตามสถานะและการดำเนินงานโครงการปรับตัวของประเทศ (โครงการประกันภัยพืชผล Agri-Map การปรับปรุงโครงสร้างควบคุมน้ำ),"4, SHOULD",GAP,,A-BTR,GAP,
SIT-3.4.2,ระบบฐานข้อมูลด้านการติดตามและประเมินผลของประเทศไทย,ตัวชี้วัดความพร้อมของโครงการงบประมาณ,,GAP,,,GAP,
SIT-3.4.2,ระบบฐานข้อมูลด้านการติดตามและประเมินผลของประเทศไทย,ดัชนีติดตามความก้าวหน้าและระดับการลดความเปราะบางรายภาคส่วนและรายจังหวัด (National M&E Tracker),"4, MUST",DAT-014,"DAT-014 verified directly against DCCE's live Data Governance Framework catalog (dgf.dcce.go.th/dataset/m-and-e) -- a real, current dataset maintained by DCCE's dedicated Adaptation M&E Evaluation Group, linked to Thailand's official Biennial Transparency Report (BTR1) submitted under the UNFCCC, tagged monitoring/evaluation/vulnerability, last updated March 2026. Its earlier absence from the WP2 260-row data_catalog_v4.csv extract does not mean it doesn't exist -- that extract is a curated subset for a different work package, not DCCE's full inventory.",A-BTR,FULL,
SIT-3.4.3,กรณีศึกษาโครงการปรับตัวที่ประสบความสำเร็จ,คลังบทเรียนโครงการเด่น ถอดบทเรียนความสำเร็จ อุปสรรค และแนวทางปฏิบัติที่เป็นเลิศ,"6, SHOULD",MED-008;MED-009;MED-010;MED-011;MED-012;MED-013;MED-014;MED-017,Media piece distilling cross-sector adaptation success factors;Good-practice case study — human settlements sector;Good-practice case study — natural resources sector;Good-practice case study series (M&E project lesson extraction);Good-practice case study series (M&E project lesson extraction);Good-practice case study series (M&E project lesson extraction);Good-practice case study series (M&E project lesson extraction);Media wrap-up of the adaptation M&E lesson-extraction project,,FULL,
SIT-4,เครื่องมือและบริการสารสนเทศด้านภูมิอากาศ,ระบบสืบค้นชุดข้อมูลดิบ (Raw Datasets) ผลิตภัณฑ์วิเคราะห์ข้อมูล และข้อมูลอธิบาย (Metadata Directory) ตามเกณฑ์มาตรฐานความมั่นคงปลอดภัย,,SYS-002;PUB-051;PUB-052,Live DCCE Data Catalog system (dgf.dcce.go.th) — the actual metadata/dataset directory;Data Catalogue publication describing the catalog;Data Governance manual covering catalog/metadata standards,,FULL,
